model	score
target	0.42465
target	0.76749
target	0.21212
target	0.35726
target	0.28282
target	0.53345
target	0.31932
target	0.76104
target	0.21032
target	0.82569
target	0.28384
target	0.76347
target	0.36220
target	0.62028
target	0.56687
target	0.10036
target	0.27719
target	0.92396
target	0.45448
target	0.57521
target	0.99115
target	0.57948
target	0.36123
target	0.20715
target	0.49263
target	0.35376
target	0.33831
target	0.22403
target	0.55298
target	0.16114
target	0.86391
target	0.74109
target	0.99292
target	0.53093
target	0.98033
target	0.21366
target	0.99262
target	0.96801
target	0.31136
target	0.88617
target	0.26016
target	0.60546
target	0.69091
target	0.03451
target	0.89453
target	0.40842
target	0.32447
target	0.96029
target	0.57065
target	0.16070
target	0.95677
target	0.83511
target	0.99539
target	0.10548
target	0.45711
target	0.37036
target	0.44921
target	0.38498
target	0.47102
target	0.73412
target	0.97384
target	0.44194
target	0.39476
target	0.59347
target	0.42574
target	0.50744
target	0.13358
target	0.28326
target	0.67119
target	0.29795
target	0.98642
target	0.44613
target	0.86861
target	0.00220
target	0.56065
target	0.47338
target	0.47667
target	0.33811
target	0.49442
target	0.55398
target	0.58079
target	0.97877
target	0.67936
target	0.98177
target	0.98700
target	0.71055
target	0.28075
target	0.93092
target	0.94013
target	0.99126
target	0.97823
target	0.50716
target	0.21780
target	0.57948
target	0.46273
target	0.55770
target	0.88739
target	0.39839
target	0.88738
target	0.56624
target	0.37104
target	0.96824
target	0.47959
target	0.94659
target	0.30467
target	0.99763
target	0.85199
target	0.27341
target	0.89599
target	0.51919
target	0.97036
target	0.38852
target	0.97927
target	0.98848
target	0.44654
target	0.99584
target	0.41078
target	0.58686
target	0.75582
target	0.98085
target	0.00449
target	0.99872
target	0.60588
target	0.28941
target	0.99723
target	0.97509
target	0.30821
target	0.18574
target	0.65864
target	0.58174
target	0.45199
target	0.99584
target	0.72010
target	0.99125
target	0.94247
target	0.67376
target	0.34645
target	0.40908
target	0.22460
target	0.99073
target	0.43477
target	0.98477
target	0.38185
target	0.39603
target	0.25050
target	0.98716
target	0.15408
target	0.79694
target	0.70641
target	0.97293
target	0.99358
target	0.71127
target	0.52051
target	0.09224
target	0.95662
target	0.36154
target	0.54440
target	0.95125
target	0.00731
target	0.15060
target	0.51692
target	0.70610
target	0.82408
target	0.38231
target	0.62635
target	0.89842
target	0.95248
target	0.52516
target	0.84465
target	0.28568
target	0.98231
target	0.98342
target	0.96650
target	0.99786
target	0.91692
target	0.23567
target	0.42875
target	0.99502
target	0.45141
target	0.30112
target	0.97658
target	0.41830
target	0.99752
target	0.71758
target	0.27239
target	0.27267
target	0.93733
target	0.51450
target	0.70901
target	0.94651
target	0.90501
target	0.99138
target	0.52923
target	0.58229
target	0.08494
target	0.97613
target	0.96626
target	0.32410
target	0.97496
target	0.97768
target	0.69896
target	0.25220
target	0.19666
target	0.57370
target	0.40007
target	0.42191
target	0.92368
target	0.40543
target	0.38984
target	0.90400
target	0.99616
target	0.36362
target	0.37753
target	0.43230
target	0.47200
target	0.24859
target	0.53684
target	1.00000
target	0.62464
target	0.99446
target	0.31650
target	0.99093
target	0.50587
target	0.35171
target	0.44580
target	0.75633
target	0.70574
target	0.34750
target	0.35315
target	0.27362
target	0.53808
target	0.44812
target	0.92905
target	0.70964
target	0.55770
target	0.98044
target	0.97626
target	0.19587
target	0.90663
target	0.25893
target	0.48839
target	0.61405
target	0.97185
target	0.61059
target	0.95567
target	0.26020
target	0.31307
target	0.52809
target	0.59539
target	0.00636
target	0.31078
target	0.81116
target	0.12996
target	0.48013
target	0.56202
target	0.37429
target	0.26436
target	0.80820
target	0.27770
target	0.42702
target	0.51100
target	0.46430
target	0.56670
target	0.37154
target	0.25938
target	0.25069
target	0.98244
target	0.41905
target	0.40377
target	0.58306
target	0.47892
target	0.32355
target	0.42912
target	0.31856
target	0.98553
target	0.13271
target	0.20487
target	0.30521
target	0.18822
target	0.71619
target	0.22802
target	0.45623
target	0.95435
target	0.43465
target	0.17735
target	0.49159
target	0.24471
target	0.53165
target	0.99638
target	0.39915
target	0.98423
target	0.88594
target	0.99105
target	0.98786
target	0.06605
target	0.53874
target	0.29438
target	0.92690
target	0.90145
target	0.31295
target	0.24299
target	0.34262
target	0.23002
target	0.72058
target	0.54071
target	0.99719
target	0.18314
target	0.54490
target	0.45054
target	0.32549
target	0.48244
target	0.00353
target	0.19977
target	0.57032
target	0.46903
target	0.48439
target	0.86890
target	0.34083
target	0.98072
target	0.58202
target	0.91537
target	0.95214
target	0.55286
target	0.23106
target	0.52191
target	0.51295
target	0.96892
target	0.97832
target	0.95881
target	0.34420
target	0.55011
target	0.68101
target	0.46736
target	0.90462
target	0.21165
target	0.54326
target	0.71271
target	0.99573
target	0.52161
target	0.50064
target	0.31346
target	0.15593
target	0.49767
target	0.99587
target	0.42834
target	0.08614
target	0.94013
target	0.56530
target	0.00378
target	0.92030
target	0.18508
target	0.93293
target	0.44731
target	0.94013
target	0.99742
target	0.40557
target	0.31482
target	0.56247
target	0.20858
target	0.20966
target	0.98836
target	0.31158
target	0.96561
target	0.59844
target	0.87064
target	0.32180
target	0.93483
target	0.77347
target	0.92023
target	0.94013
target	0.93720
target	0.33005
target	0.56109
target	0.97859
target	0.57111
target	0.33596
target	0.66377
target	0.20183
target	0.09082
target	0.99396
target	0.02050
target	0.66158
target	0.27285
target	0.40331
target	0.98196
target	0.00272
target	0.99056
target	0.51402
target	0.86384
target	0.72254
target	0.30579
target	0.15033
target	0.64064
target	0.40865
target	0.26914
target	0.46744
target	0.98654
target	0.03234
target	0.99873
target	0.16530
target	0.35693
target	0.98224
target	0.35449
target	0.58406
target	0.38879
target	0.56191
target	0.97776
target	0.11308
target	0.40424
target	0.52102
target	0.17193
target	0.41809
target	0.17869
target	0.95147
target	0.00545
target	0.44512
target	0.95441
target	0.28424
target	0.32065
target	0.90599
target	0.51872
target	0.87019
target	0.98389
target	0.36574
target	0.98157
target	0.98557
target	0.93210
target	0.96009
target	0.96145
target	0.41524
target	0.10769
target	0.34372
target	0.59356
target	0.88627
target	0.98677
target	0.89060
target	0.37673
target	0.27975
target	0.35469
target	0.47978
target	0.47464
target	0.95947
target	0.31864
target	0.33153
target	0.61301
target	0.97860
target	0.99571
target	0.99130
target	0.47563
target	0.26315
target	0.98771
target	0.97150
target	0.84990
target	0.30065
target	0.84002
target	0.87468
target	0.48909
target	0.51289
target	0.22193
target	0.54431
target	0.41174
target	0.23058
target	0.33242
target	0.96291
target	0.98674
target	0.25685
target	0.23647
target	0.34272
target	0.99492
target	0.99450
target	0.29069
target	0.39949
target	0.99175
target	0.50862
target	0.21254
target	0.05285
target	0.92372
target	0.28222
target	0.97024
target	0.58958
target	0.47040
target	0.70207
target	0.49325
target	0.71053
target	0.99603
target	0.93830
target	0.42174
target	0.97225
target	0.11122
target	0.67345
target	0.97054
target	0.40073
target	0.56138
target	0.47585
target	0.77290
target	0.40214
target	0.34680
target	0.97152
target	0.60606
target	0.47938
target	0.94343
target	0.68983
target	0.85379
target	0.48740
target	0.02690
target	0.42848
target	0.16804
target	0.46221
target	0.36782
target	0.59079
target	0.59931
target	0.67481
target	0.82889
target	0.27920
target	0.72416
target	0.59236
target	0.49833
target	0.71859
target	0.84102
target	0.79063
target	0.64111
target	0.83435
target	0.82099
target	0.96023
target	0.97919
target	0.99671
target	0.24281
target	0.41775
target	0.28945
target	0.35206
target	0.19402
target	0.42832
target	0.64809
target	0.99064
target	0.58174
target	0.96218
target	0.97103
target	0.31057
target	0.95087
target	0.11975
target	0.99122
target	0.71018
target	0.87732
target	0.15003
target	0.31130
target	0.92945
target	0.29843
target	0.39698
target	0.98251
target	0.65619
target	0.52076
target	0.86329
target	0.88171
target	0.94555
target	0.89856
target	0.37072
target	0.89802
target	0.59502
target	0.98133
target	0.36747
target	0.81006
target	0.40635
target	0.12729
target	0.90906
target	0.86489
target	0.68422
target	0.16970
target	0.96995
target	0.59931
target	0.45409
target	0.15458
target	0.63014
target	0.22387
target	0.99746
target	0.64517
target	0.46488
target	0.99566
target	0.53714
target	0.64158
target	0.61059
target	0.32183
target	0.90100
target	0.13247
target	0.83862
target	0.19050
target	0.99370
target	0.88837
target	0.53808
target	0.62445
target	0.31865
target	0.35720
target	0.24204
target	0.66917
target	0.53138
target	0.94894
target	0.32100
target	0.89322
target	0.10263
target	0.98538
target	0.38317
target	0.09427
target	0.24702
target	0.54611
target	0.44849
target	0.39921
target	0.34191
target	0.04886
target	0.31332
target	0.58834
target	0.48443
target	0.41688
target	0.31535
target	0.32582
target	0.16426
target	0.21704
target	0.90806
target	0.89791
target	0.93439
target	0.56559
target	0.33592
target	0.98412
target	0.98892
target	0.29439
target	0.86140
target	0.86564
target	0.40233
target	0.29192
target	0.93911
target	0.46596
target	0.42538
target	0.58960
target	0.57502
target	0.20857
target	0.14153
target	0.45403
target	0.98326
target	0.57541
target	0.22067
target	0.25712
target	0.42716
target	0.48330
target	0.00429
target	0.20225
target	0.50461
target	0.82680
target	0.21777
