mono_mass	mz	charge	rt	n_psm
798.41235	400.21345	2	38.9569	2
798.46020	400.23740	2	44.1148	2
798.48505	400.24980	2	58.1532	2
798.48970	400.25210	2	32.8607	1
799.45535	400.73495	2	49.5938	2
800.43810	401.22630	2	38.5375	1
800.43875	401.22665	2	44.3724	2
800.43950	401.22705	2	40.7033	2
800.45445	401.23450	2	51.6471	2
801.43475	401.72465	2	37.0883	2
801.53305	401.77380	2	45.0660	2
802.38625	402.20040	2	39.1880	2
802.49850	402.25650	2	62.2542	2
805.40790	403.71120	2	45.6054	3
805.44480	403.72970	2	51.8296	1
806.39570	404.20515	2	37.9803	2
806.45380	404.23415	2	60.8907	2
806.45430	404.23445	2	50.7853	2
806.49020	404.25240	2	57.2518	2
807.41300	404.71380	2	40.4493	2
808.36560	405.19010	2	37.1204	2
808.39665	405.20560	2	49.8068	2
808.44070	405.22760	2	36.2222	1
811.35450	406.68455	2	37.8999	2
811.49170	406.75315	2	50.0289	2
812.42225	407.21840	2	43.2314	2
812.43905	407.22680	2	40.4725	2
812.47585	407.24520	2	60.6844	2
812.48725	407.25090	2	45.1206	2
812.51195	407.26325	2	49.3985	2
813.43280	407.72370	2	34.0577	2
814.45450	408.23455	2	34.8161	2
814.45545	408.23500	2	52.0836	2
815.43880	408.72670	2	39.1037	2
815.46915	408.74185	2	57.1745	2
815.47550	408.74500	2	42.6390	2
815.47690	408.74575	2	46.8592	2
815.49760	408.75605	2	38.2239	2
816.38440	409.19950	2	51.9335	1
816.44925	409.23190	2	66.9050	2
816.47020	409.24240	2	37.9705	2
817.42930	409.72195	2	35.1321	2
817.45460	409.73460	2	40.7905	1
817.48145	409.74800	2	67.3106	2
818.43280	410.22370	2	43.9743	1
818.44010	410.22735	2	53.2473	2
818.49000	410.25230	2	74.3283	2
819.39155	410.70305	2	35.5289	2
819.43080	410.72270	2	63.5080	2
820.43470	411.22460	2	39.3002	1
820.46965	411.24210	2	46.1207	2
820.48840	411.25145	2	72.1042	2
821.42790	411.72120	2	41.1075	1
821.44755	411.73105	2	33.9224	2
822.39140	412.20300	2	32.5657	3
822.42375	412.21915	2	37.2713	2
822.42395	412.21925	2	43.1769	2
823.41820	412.71640	2	36.6822	2
823.42650	412.72055	2	55.1546	2
823.44450	412.72950	2	45.4823	1
824.54890	413.28175	2	71.5766	2
826.49060	414.25260	2	40.1211	2
826.49120	414.25285	2	42.7281	2
826.52750	414.27100	2	50.1383	2
826.52780	414.27120	2	70.1290	2
827.48620	414.75040	2	49.2257	2
828.41600	415.21530	2	31.5168	1
828.50710	415.26080	2	51.6879	1
829.44790	415.73120	2	40.5134	4
829.46355	415.73910	2	42.1597	2
829.46555	415.74005	2	35.0754	2
829.49145	415.75300	2	56.2856	2
829.49155	415.75305	2	39.8444	2
829.50265	415.75860	2	36.9987	2
829.50320	415.75890	2	50.9283	2
830.43355	416.22405	2	30.5158	2
831.46990	416.74220	2	49.0212	2
831.47050	416.74250	2	35.6782	1
831.49705	416.75580	2	70.2763	2
832.39305	417.20380	2	35.0098	2
832.41215	417.21340	2	43.2965	2
832.42980	417.22220	2	45.6486	3
833.47600	417.74530	2	54.7081	1
834.43480	418.22470	2	38.3744	2
835.40840	418.71150	2	47.6109	1
835.40950	418.71200	2	47.5885	1
835.44440	418.72945	2	43.8151	2
836.38995	419.20225	2	40.8460	2
836.39920	419.20690	2	41.6852	1
836.44030	419.22740	2	57.0792	2
836.44055	419.22755	2	44.0298	2
837.40315	419.70885	2	48.4350	2
837.40545	419.71000	2	54.8273	2
838.41810	420.21630	2	37.8896	2
839.42920	420.72190	2	55.5496	2
839.58455	420.79955	2	73.5999	2
840.47025	421.24240	2	43.5217	2
840.49760	421.25610	2	50.7441	1
840.54320	421.27890	2	60.1073	2
840.54330	421.27895	2	75.3389	2
841.46640	421.74050	2	41.4155	3
841.49190	421.75325	2	55.3767	2
841.49460	421.75460	2	51.9330	2
842.42860	422.22160	2	48.2535	2
842.45530	422.23490	2	42.4674	1
842.46135	422.23795	2	40.2420	2
842.48535	422.24995	2	52.6296	2
842.48680	422.25065	2	42.8668	2
842.48790	422.25125	2	38.9027	2
842.52240	422.26850	2	71.3852	2
842.52280	422.26870	2	49.6268	2
842.53305	422.27380	2	34.8485	2
843.45180	422.73315	2	39.7826	2
843.47200	422.74330	2	40.1170	1
843.48150	422.74805	2	45.2285	2
843.54290	422.77875	2	63.6509	2
844.45490	423.23470	2	54.3881	2
844.46535	423.23995	2	35.7848	2
845.46040	423.73750	2	37.9216	2
845.46105	423.73780	2	44.7439	2
845.46480	423.73970	2	67.7547	2
845.48645	423.75050	2	53.1671	2
845.51245	423.76350	2	65.5924	2
845.53730	423.77595	2	76.6874	2
846.43810	424.22635	2	49.1633	2
846.44895	424.23175	2	61.5532	2
846.92560	424.47010	2	43.9234	2
847.42300	424.71880	2	44.4133	1
847.44440	424.72950	2	41.2721	1
847.48120	424.74785	2	46.1302	2
848.43935	425.22695	2	42.4381	2
848.44015	425.22735	2	50.7779	2
848.44020	425.22740	2	53.5144	2
848.44480	425.22965	2	37.0061	2
849.42015	425.71735	2	47.2186	2
849.44260	425.72860	2	53.0957	1
850.45290	426.23370	2	46.9403	2
850.50205	426.25830	2	39.9826	2
851.37060	426.69260	2	41.1360	1
851.40320	426.70885	2	35.9648	2
851.42140	426.71800	2	46.2086	2
851.43950	426.72705	2	37.5628	2
853.36065	427.68760	2	37.3681	2
854.46060	428.23760	2	40.4443	2
856.43340	429.22400	2	64.9211	2
856.46960	429.24205	2	50.5792	2
856.51230	429.26340	2	48.7617	1
856.51250	429.26350	2	48.7853	1
856.51600	429.26530	2	46.2989	2
856.53950	429.27700	2	58.2750	2
857.44210	429.72835	2	40.2214	2
857.46165	429.73810	2	40.7368	2
857.46255	429.73855	2	43.1204	2
857.49635	429.75550	2	46.9953	2
857.49730	429.75590	2	55.5121	1
857.49740	429.75600	2	55.5294	1
858.45640	430.23550	2	44.8929	2
858.47000	430.24230	2	44.2276	1
858.48045	430.24750	2	33.5814	2
858.96275	430.48865	2	38.4402	4
859.43820	430.72640	2	40.5273	1
859.46535	430.73995	2	47.4791	2
860.42400	431.21925	2	36.6164	2
860.44210	431.22835	2	45.8245	2
860.46070	431.23765	2	34.1971	2
861.44440	431.72950	2	45.2329	2
861.47125	431.74290	2	48.2033	2
861.50790	431.76120	2	75.8902	2
862.38655	432.20055	2	39.7503	2
862.41950	432.21700	2	36.8925	1
863.45065	432.73260	2	49.7680	2
863.45090	432.73270	2	35.4910	2
863.45675	432.73565	2	59.2869	2
864.41995	433.21725	2	50.2800	2
864.43495	433.22475	2	53.3948	2
864.50685	433.26070	2	64.4450	2
865.41540	433.71495	2	40.3042	2
865.41980	433.71720	2	35.8970	1
865.50150	433.75800	2	36.1187	2
866.40990	434.21220	2	41.0548	1
866.49780	434.25620	2	43.0165	2
867.39540	434.70500	2	37.9168	1
867.41615	434.71535	2	50.5590	2
867.43475	434.72465	2	39.6361	2
868.45850	435.23650	2	38.2861	2
868.51300	435.26380	2	32.9137	2
869.49665	435.75560	2	34.9426	2
869.53355	435.77405	2	60.4039	2
869.53370	435.77415	2	53.0448	2
869.55905	435.78680	2	67.4555	2
870.43805	436.22630	2	34.3204	2
870.44940	436.23200	2	55.0739	2
870.48115	436.24785	2	43.6064	2
870.51845	436.26650	2	58.6816	2
870.55400	436.28430	2	51.4155	2
871.44405	436.72930	2	38.7623	2
871.45100	436.73275	2	41.3803	2
871.53910	436.77680	2	59.9873	2
872.47415	437.24435	2	40.2081	2
872.49680	437.25570	2	42.7594	2
872.49840	437.25650	2	36.0195	1
872.51525	437.26490	2	64.3361	2
873.47400	437.74425	2	51.0627	2
873.48025	437.74740	2	49.0288	2
873.49640	437.75545	2	68.0162	2
874.43325	438.22390	2	45.3994	2
874.44250	438.22855	2	34.5689	2
874.45855	438.23655	2	50.3554	2
874.46670	438.24060	2	43.5673	1
874.46960	438.24205	2	36.2358	2
875.49110	438.75280	2	30.3707	1
875.52240	438.76845	2	50.5663	2
875.52300	438.76880	2	61.5250	2
876.41270	439.21360	2	39.8444	2
876.43250	439.22350	2	48.5357	1
876.43850	439.22650	2	69.0649	1
876.47870	439.24660	2	54.6150	1
876.49560	439.25510	2	68.3930	2
877.42915	439.72185	2	44.0089	2
877.45495	439.73475	2	37.8059	2
877.45500	439.73475	2	65.8352	2
877.46585	439.74020	2	50.2198	2
877.46630	439.74040	2	43.2652	2
877.46640	439.74050	2	45.7880	1
877.47855	439.74655	2	50.7476	4
877.50965	439.76210	2	70.5062	2
877.52750	439.77100	2	69.6107	1
878.43300	440.22380	2	48.4798	1
878.48640	440.25050	2	55.2399	2
879.39500	440.70480	2	35.2022	2
880.42940	441.22195	2	44.0708	2
880.54895	441.28180	2	53.9741	2
881.51570	441.76510	2	55.8539	2
882.48220	442.24840	2	36.7867	1
882.52860	442.27160	2	39.6634	2
883.53830	442.77640	2	51.7352	2
883.53835	442.77645	2	59.2949	2
883.56050	442.78750	2	39.3988	2
884.44050	443.22750	2	44.8187	1
884.54380	443.27920	2	54.8227	2
884.57125	443.29290	2	59.8320	2
885.44445	443.72950	2	35.6093	2
885.49195	443.75325	2	51.9684	2
885.55385	443.78420	2	65.5091	2
886.40780	444.21115	2	54.0321	2
886.47520	444.24490	2	41.6307	1
886.48705	444.25080	2	43.1522	2
886.51210	444.26335	2	49.8227	2
886.51330	444.26390	2	48.3998	1
886.53490	444.27470	2	38.2609	1
887.46005	444.73730	2	36.9376	2
