mono_mass	mz	charge	rt	n_psm
799.45530	400.73490	2	49.2493	2
800.43905	401.22680	2	43.9025	2
800.43930	401.22695	2	40.3367	2
801.43495	401.72475	2	36.8106	2
801.46090	401.73770	2	44.8765	1
801.53435	401.77445	2	44.3872	2
802.38610	402.20035	2	38.8803	2
802.49800	402.25625	2	61.6412	2
805.40820	403.71135	2	45.0746	2
805.44415	403.72935	2	51.3376	2
806.39645	404.20550	2	37.6203	2
806.45600	404.23530	2	50.5893	1
807.41285	404.71370	2	40.0585	2
808.36205	405.18830	2	37.1623	2
808.43850	405.22650	2	35.8517	1
809.41810	405.71630	2	62.2007	2
810.36880	406.19165	2	47.2521	2
812.43865	407.22660	2	40.0683	2
812.51130	407.26295	2	48.9909	2
815.44265	408.72860	2	38.8519	2
815.46920	408.74190	2	56.5828	2
815.47680	408.74570	2	46.4171	1
816.44870	409.23160	2	66.3254	1
817.42805	409.72130	2	34.7274	2
817.45520	409.73490	2	40.4212	1
817.48220	409.74840	2	66.7240	1
818.44040	410.22750	2	52.8419	2
818.49030	410.25245	2	73.7851	2
819.43120	410.72290	2	62.9032	1
820.43355	411.22405	2	39.0514	2
820.47205	411.24330	2	45.5580	2
820.48940	411.25200	2	71.4977	1
822.39090	412.20270	2	30.1244	1
822.42360	412.21905	2	36.8998	2
823.42675	412.72070	2	54.5391	2
824.54825	413.28145	2	71.0338	2
826.36405	414.18930	2	35.6651	2
826.49140	414.25300	2	39.7247	2
826.49155	414.25305	2	42.2420	2
826.52735	414.27095	2	69.5329	2
826.52765	414.27110	2	49.7726	2
828.41555	415.21505	2	31.5362	2
829.44770	415.73115	2	40.2193	2
829.49210	415.75330	2	55.7224	2
829.50320	415.75890	2	36.8038	1
830.43840	416.22650	2	30.1758	1
831.46955	416.74205	2	35.2269	2
831.47040	416.74250	2	48.5745	1
831.49685	416.75575	2	69.6473	2
832.39900	417.20680	2	34.4304	1
832.42700	417.22080	2	45.2507	1
834.43430	418.22440	2	38.0865	1
835.41310	418.71380	2	46.9354	1
836.39060	419.20260	2	40.5404	1
836.39940	419.20700	2	41.2848	1
836.43960	419.22710	2	56.5993	2
836.44075	419.22765	2	43.5142	2
837.40360	419.70910	2	48.0791	2
837.40475	419.70965	2	54.2662	2
838.39700	420.20580	2	58.1662	2
840.47100	421.24280	2	43.1311	1
840.54420	421.27940	2	74.7710	2
841.46580	421.74015	2	41.0239	2
841.50140	421.75800	2	50.5253	1
842.46100	422.23780	2	39.8323	1
842.48485	422.24970	2	52.1827	2
842.48660	422.25055	2	42.3208	2
842.48770	422.25110	2	38.6225	1
843.48165	422.74810	2	44.6847	2
843.54245	422.77850	2	63.0145	2
844.45540	423.23500	2	53.8500	2
844.46340	423.23900	2	35.3357	1
845.46025	423.73740	2	37.6481	2
845.46190	423.73825	2	44.2104	2
845.46395	423.73925	2	67.1564	2
845.51160	423.76310	2	65.0825	2
845.53705	423.77580	2	76.0887	2
846.39840	424.20650	2	37.0934	1
846.44830	424.23145	2	60.9999	2
846.92630	424.47045	2	43.3896	2
848.43885	425.22670	2	53.3745	2
848.43895	425.22675	2	41.9759	2
848.44525	425.22990	2	36.7524	2
849.43510	425.72480	2	44.7111	1
850.45565	426.23510	2	46.5123	2
850.50310	426.25885	2	39.5509	2
851.40235	426.70845	2	35.7570	2
851.43980	426.72720	2	37.2592	1
853.36120	427.68790	2	37.0196	2
854.46040	428.23745	2	40.1171	2
856.47060	429.24260	2	50.6312	2
856.51780	429.26620	2	45.7219	1
856.53870	429.27660	2	57.7566	2
857.44210	429.72830	2	39.8699	1
857.46120	429.73790	2	40.4516	1
857.46275	429.73865	2	42.7776	2
857.49660	429.75560	2	46.5712	2
857.49670	429.75560	2	54.9834	1
858.46175	430.23815	2	38.0041	2
859.46165	430.73810	2	38.2068	2
859.46560	430.74010	2	47.0345	2
860.42430	431.21940	2	36.2939	2
860.44310	431.22880	2	45.3629	1
860.46130	431.23790	2	33.7900	1
861.44480	431.72970	2	44.7836	2
861.47010	431.74235	2	60.3790	2
861.50775	431.76115	2	75.3523	2
863.45030	432.73245	2	49.4675	2
863.45780	432.73620	2	58.7185	1
864.41875	433.21670	2	49.9312	2
864.50760	433.26110	2	63.8561	2
865.41500	433.71475	2	39.9500	2
866.49790	434.25620	2	42.3857	3
867.41660	434.71555	2	50.1791	2
868.45940	435.23700	2	37.9070	2
868.50020	435.25740	2	44.5956	1
869.49625	435.75540	2	34.4772	2
869.53250	435.77350	2	59.8886	1
869.55920	435.78690	2	66.8725	2
870.44870	436.23165	2	54.5098	2
870.48140	436.24795	2	43.0708	2
870.51685	436.26570	2	58.0812	2
870.55405	436.28430	2	50.8798	2
871.45085	436.73270	2	41.0718	2
871.53950	436.77700	2	59.4424	1
872.37930	437.19690	2	90.7700	1
872.47460	437.24460	2	39.7866	2
872.50210	437.25835	2	42.2950	2
873.47330	437.74390	2	50.6937	2
873.49565	437.75515	2	67.4171	2
874.45835	438.23645	2	50.0168	2
874.46610	438.24030	2	41.7204	1
874.47670	438.24560	2	36.6876	1
875.49000	438.75230	2	53.6896	2
875.52250	438.76855	2	60.9444	2
875.52270	438.76865	2	50.1280	2
876.41225	439.21340	2	39.6178	2
876.44640	439.23050	2	38.1417	2
876.49630	439.25540	2	67.8388	1
877.45435	439.73450	2	37.5224	2
877.46505	439.73980	2	49.9022	2
877.46800	439.74130	2	42.8021	1
877.50970	439.76215	2	69.8845	2
878.48655	440.25055	2	54.6426	2
878.48670	440.25060	2	50.3836	3
880.43010	441.22230	2	43.6187	1
880.51360	441.26405	2	44.0205	2
882.52880	442.27170	2	39.3836	2
883.51180	442.76320	2	39.8273	1
883.53805	442.77630	2	58.7522	2
883.53860	442.77660	2	51.3793	1
884.43995	443.22725	2	44.3577	2
884.54370	443.27915	2	54.2602	2
884.57420	443.29440	2	59.2549	1
885.46495	443.73975	2	39.1854	2
885.49070	443.75260	2	35.7069	1
885.49130	443.75290	2	49.9568	1
