mono_mass	mz	charge	rt	n_psm
798.41260	400.21360	2	39.3041	1
798.46060	400.23760	2	44.3865	1
798.49010	400.25230	2	33.7833	2
799.45485	400.73470	2	50.1254	2
800.43940	401.22700	2	41.2061	3
800.43945	401.22700	2	44.6553	2
800.45495	401.23475	2	52.2057	2
800.49040	401.25250	2	62.5999	1
801.43590	401.72520	2	37.7521	2
801.45980	401.73715	2	45.6792	2
801.53240	401.77350	2	45.7371	2
802.38615	402.20035	2	39.7724	2
802.49835	402.25645	2	62.7142	2
805.44450	403.72950	2	52.5431	1
806.39580	404.20515	2	38.6067	2
806.45385	404.23420	2	61.2770	2
806.45460	404.23460	2	51.2055	2
807.41270	404.71360	2	40.9985	2
808.36315	405.18885	2	37.7813	2
808.43855	405.22655	2	37.3285	2
811.35415	406.68435	2	38.4808	2
811.49140	406.75300	2	50.4422	2
812.42250	407.21850	2	43.6203	2
812.43940	407.22695	2	40.9144	2
812.48690	407.25070	2	45.5468	2
812.51165	407.26310	2	49.9926	2
813.43420	407.72440	2	35.1430	1
814.45490	408.23475	2	35.6401	2
814.45600	408.23525	2	52.5825	2
814.51630	408.26540	2	59.5620	2
815.44065	408.72760	2	39.7212	2
815.44990	408.73225	2	36.8558	2
815.46850	408.74150	2	57.6023	2
815.47620	408.74540	2	43.1478	2
815.47680	408.74570	2	47.2798	2
815.49740	408.75600	2	39.0278	2
815.51110	408.76285	2	47.0585	2
816.44990	409.23220	2	67.3813	2
816.45870	409.23660	2	58.1313	1
816.47055	409.24255	2	38.5124	2
817.42965	409.72210	2	35.8285	2
817.48080	409.74770	2	67.8691	1
818.44040	410.22750	2	53.6758	2
818.49045	410.25250	2	74.9598	2
819.39105	410.70280	2	36.2779	2
819.41770	410.71610	2	41.1648	1
819.43130	410.72290	2	63.9250	2
820.43470	411.22460	2	39.8320	2
820.46920	411.24185	2	46.4384	2
820.48845	411.25150	2	72.7096	2
821.42900	411.72175	2	41.6343	2
821.44660	411.73055	2	34.7703	2
822.39105	412.20280	2	32.6568	4
822.42370	412.21915	2	37.9586	2
823.41830	412.71640	2	37.3240	1
823.42630	412.72045	2	55.6695	2
823.44440	412.72950	2	46.0641	2
824.54825	413.28140	2	72.1583	2
826.43610	414.22530	2	42.4256	1
826.49065	414.25260	2	40.6790	2
826.49145	414.25300	2	43.1390	2
826.52720	414.27085	2	50.6983	2
826.52765	414.27110	2	70.5882	2
827.44970	414.73210	2	30.7214	1
827.48635	414.75050	2	49.7323	2
828.41720	415.21585	2	32.2708	2
828.47750	415.24605	2	39.9159	2
828.50700	415.26080	2	52.2899	1
829.44820	415.73140	2	40.9857	4
829.46430	415.73945	2	35.8048	2
829.46470	415.73960	2	42.5445	2
829.49110	415.75290	2	56.6714	2
829.50235	415.75845	2	37.8132	2
829.50300	415.75880	2	51.5087	1
831.46920	416.74190	2	36.3539	1
831.47010	416.74230	2	49.5977	2
831.49650	416.75555	2	70.8493	2
832.39190	417.20320	2	35.5361	2
832.93035	417.47245	2	45.9337	4
834.43495	418.22475	2	38.8588	2
835.41050	418.71250	2	47.8653	1
835.44395	418.72925	2	44.2173	2
836.39145	419.20300	2	41.5357	2
836.40060	419.20760	2	42.3959	1
836.44080	419.22765	2	44.3429	2
836.44115	419.22785	2	57.3205	2
837.40205	419.70830	2	48.8563	2
837.40550	419.71005	2	55.2262	2
838.41770	420.21610	2	38.3961	2
839.42950	420.72205	2	55.9651	2
839.58425	420.79940	2	74.1858	2
840.54305	421.27880	2	75.9082	2
840.54330	421.27890	2	60.6161	2
841.46645	421.74050	2	41.7735	2
841.49140	421.75300	2	55.7288	2
841.49340	421.75395	2	52.4623	2
842.42850	422.22150	2	48.7108	2
842.45545	422.23500	2	42.8253	2
842.46150	422.23810	2	40.8131	1
842.48675	422.25065	2	43.2298	2
842.48760	422.25110	2	39.4872	2
842.52200	422.26830	2	71.9148	2
842.52285	422.26870	2	50.1941	2
842.53385	422.27420	2	35.7360	2
843.48115	422.74785	2	45.5901	2
843.49340	422.75400	2	37.6859	1
843.54280	422.77865	2	64.1236	2
844.45545	423.23505	2	54.8882	2
844.46565	423.24010	2	36.5057	2
845.45965	423.73710	2	38.5075	2
845.46170	423.73810	2	45.0885	2
845.46445	423.73950	2	68.2800	2
845.48630	423.75040	2	53.7075	2
845.51235	423.76345	2	66.0675	2
845.53760	423.77605	2	77.3330	2
846.42860	424.22160	2	43.8372	2
846.44880	424.23170	2	61.9685	2
847.42360	424.71910	2	44.7642	1
847.43100	424.72280	2	32.2416	1
847.44455	424.72955	2	41.6536	2
847.48030	424.74745	2	46.5308	2
848.43910	425.22680	2	53.7945	2
848.43945	425.22700	2	42.7282	2
848.44405	425.22930	2	37.6879	2
849.42050	425.71750	2	47.7428	3
849.43475	425.72465	2	54.4313	2
850.35680	426.18570	2	38.9560	1
850.45390	426.23420	2	47.3918	2
850.50260	426.25860	2	40.7327	2
851.36970	426.69210	2	41.4684	1
851.40270	426.70865	2	36.6550	2
851.42120	426.71790	2	50.4233	1
851.42165	426.71810	2	46.6090	2
851.43910	426.72685	2	38.1620	2
852.44960	427.23210	2	61.5107	2
853.36115	427.68785	2	38.0539	2
854.46080	428.23770	2	40.8743	2
856.43295	429.22375	2	65.3467	2
856.46955	429.24205	2	51.0141	2
856.48050	429.24750	2	46.6642	1
856.51300	429.26375	2	49.2427	2
856.51680	429.26570	2	46.7344	2
856.53840	429.27645	2	58.6527	2
857.44020	429.72740	2	40.6191	2
857.46150	429.73805	2	41.1682	2
857.46190	429.73825	2	43.5248	2
857.49630	429.75540	2	47.3662	2
857.49730	429.75590	2	55.8958	1
857.49760	429.75610	2	55.8667	1
858.45650	430.23550	2	45.2999	2
858.46990	430.24225	2	44.5735	2
859.43870	430.72660	2	41.1004	1
859.46480	430.73970	2	39.1600	3
859.46495	430.73975	2	47.9357	2
860.42375	431.21920	2	37.2158	2
860.44180	431.22820	2	46.2020	1
860.46045	431.23750	2	34.8656	2
861.44395	431.72925	2	45.4766	2
861.47020	431.74240	2	61.4693	1
861.47175	431.74315	2	48.7903	2
861.50805	431.76130	2	76.6033	2
861.53260	431.77355	2	51.3295	2
862.38670	432.20065	2	40.2636	2
863.45060	432.73260	2	36.2451	2
863.45115	432.73285	2	50.2213	2
863.47550	432.74500	2	47.0988	1
864.41930	433.21690	2	50.7758	2
864.43500	433.22480	2	53.7075	2
864.50735	433.26095	2	64.9501	2
865.41485	433.71470	2	40.9031	2
865.41905	433.71680	2	36.5106	2
866.45750	434.23600	2	76.4657	2
866.49850	434.25650	2	43.6135	2
867.39670	434.70565	2	38.5445	2
867.41680	434.71565	2	51.0798	2
867.43400	434.72430	2	40.0801	2
868.45915	435.23685	2	39.0610	2
868.50125	435.25790	2	45.4588	2
868.51325	435.26390	2	33.5647	2
869.45420	435.73440	2	35.5335	1
869.49515	435.75485	2	35.6738	2
869.53295	435.77375	2	60.7097	2
869.53360	435.77410	2	53.4548	2
869.55890	435.78675	2	68.0053	2
870.44920	436.23185	2	55.5620	2
870.51790	436.26620	2	59.0538	2
870.55425	436.28440	2	52.2105	2
871.44430	436.72940	2	39.3689	1
871.45110	436.73285	2	41.8578	2
871.53850	436.77650	2	60.2977	2
872.47540	437.24495	2	40.9042	2
872.49730	437.25595	2	43.2217	2
872.51535	437.26500	2	64.7905	2
873.47460	437.74460	2	51.5551	1
873.47510	437.74480	2	51.5314	1
873.47780	437.74620	2	47.0419	1
873.47920	437.74690	2	47.0752	1
873.49620	437.75535	2	68.4729	2
874.43320	438.22385	2	45.7367	2
874.45810	438.23630	2	50.8088	2
874.46625	438.24045	2	44.0678	2
874.46975	438.24215	2	36.9770	2
875.48990	438.75225	2	31.5389	2
875.52315	438.76885	2	61.9389	2
