mono_mass	mz	charge	rt	n_psm
799.45535	400.73495	2	49.1581	2
800.43900	401.22675	2	40.2716	2
800.44270	401.22860	2	43.8109	1
801.43465	401.72460	2	36.7989	2
801.53290	401.77370	2	44.1800	1
802.38560	402.20010	2	38.7336	1
802.49930	402.25690	2	61.5448	1
805.40820	403.71140	2	44.8612	2
806.39600	404.20525	2	37.6260	2
807.41405	404.71430	2	39.9712	2
808.43920	405.22690	2	35.7937	2
809.41815	405.71635	2	61.9894	2
810.36955	406.19205	2	47.1322	2
812.43900	407.22680	2	40.0274	2
812.51175	407.26315	2	48.8970	2
815.47580	408.74520	2	46.3052	1
816.41540	409.21500	2	38.6646	1
817.42505	409.71980	2	34.8217	2
818.43945	410.22700	2	52.8106	2
819.43210	410.72330	2	62.7887	2
820.44520	411.22990	2	48.3471	1
820.47060	411.24255	2	45.3554	2
822.39060	412.20260	2	30.5142	2
823.42740	412.72095	2	54.5791	2
824.54890	413.28170	2	71.0111	1
826.36395	414.18925	2	35.7339	2
826.49125	414.25290	2	42.1800	2
826.49155	414.25305	2	39.6693	2
826.52800	414.27130	2	69.5418	1
826.52805	414.27130	2	49.7458	2
828.44510	415.22980	2	39.8854	2
829.49235	415.75345	2	55.7365	2
829.50285	415.75875	2	36.6702	2
831.49715	416.75590	2	69.6150	2
835.44430	418.72940	2	43.2411	1
836.43945	419.22700	2	56.6243	2
836.44035	419.22745	2	43.3885	2
837.40210	419.70835	2	48.2113	2
838.39775	420.20615	2	58.0175	2
839.42935	420.72195	2	55.0450	2
840.54335	421.27900	2	74.7652	2
841.46575	421.74015	2	40.9586	2
841.49315	421.75385	2	51.4238	2
841.50240	421.75850	2	50.5264	1
842.48580	422.25015	2	42.2073	2
843.48135	422.74795	2	44.5475	2
843.54335	422.77900	2	62.9043	2
844.45655	423.23555	2	53.8735	2
845.46090	423.73770	2	44.0898	1
845.46140	423.73800	2	37.7200	1
846.42910	424.22180	2	42.8072	2
848.43865	425.22660	2	41.8822	2
848.44060	425.22760	2	53.4113	1
848.44620	425.23040	2	36.7395	2
849.42045	425.71750	2	46.5211	2
849.43455	425.72455	2	44.5734	2
850.45520	426.23490	2	46.3199	2
850.50220	426.25840	2	39.4931	2
851.40285	426.70870	2	35.6660	2
854.46070	428.23765	2	40.0596	2
855.51810	428.76630	2	51.4995	1
856.43265	429.22360	2	64.3437	2
856.46980	429.24220	2	50.4513	2
856.53875	429.27665	2	57.6926	2
857.46325	429.73890	2	42.6644	2
857.49695	429.75575	2	55.0388	2
859.46320	430.73890	2	38.2393	2
859.46505	430.73985	2	46.8528	2
859.49560	430.75505	2	38.1024	2
860.42510	431.21985	2	36.3430	2
860.45070	431.23260	2	44.5366	3
861.44435	431.72945	2	44.7111	2
861.47095	431.74275	2	60.2100	2
861.50755	431.76105	2	75.2582	2
863.45050	432.73250	2	35.2376	2
864.42005	433.21730	2	49.8606	2
864.50650	433.26050	2	63.7410	2
865.43015	433.72235	2	33.7061	2
866.49760	434.25610	2	42.2641	2
867.41695	434.71575	2	50.1187	2
868.45920	435.23685	2	37.8028	2
868.51350	435.26400	2	32.6863	2
869.49720	435.75585	2	34.7355	2
869.53300	435.77380	2	59.8490	1
869.53365	435.77410	2	52.7500	2
869.55945	435.78700	2	66.8147	2
870.44965	436.23210	2	54.5991	2
870.51730	436.26590	2	58.0417	1
870.55375	436.28415	2	50.8221	2
871.45185	436.73320	2	41.0035	2
872.47480	437.24470	2	39.6744	1
872.50280	437.25870	2	42.2329	2
873.47330	437.74390	2	50.6649	1
873.49675	437.75570	2	67.3360	2
