mono_mass	mz	charge	rt	n_psm
798.46000	400.23730	2	44.5316	1
798.49010	400.25230	2	33.5255	1
799.45515	400.73485	2	49.9965	2
800.43945	401.22700	2	41.2570	2
801.43520	401.72485	2	37.9642	2
801.53330	401.77390	2	45.5971	1
802.38580	402.20015	2	39.8333	2
802.49895	402.25675	2	62.5550	2
805.40740	403.71100	2	45.8874	1
805.44570	403.73010	2	52.2284	1
806.39570	404.20515	2	38.6919	2
807.41255	404.71360	2	41.0826	2
808.35910	405.18680	2	38.2264	2
809.41940	405.71695	2	63.0961	2
810.37020	406.19240	2	47.9417	2
812.43915	407.22685	2	41.1434	2
812.47570	407.24510	2	60.9534	1
812.51290	407.26370	2	49.8796	2
814.45530	408.23490	2	52.5493	1
815.44630	408.73040	2	39.8997	1
815.47600	408.74530	2	47.2670	1
815.49765	408.75610	2	38.9320	2
817.42560	409.72005	2	35.9224	2
818.44020	410.22740	2	53.6142	2
819.43165	410.72310	2	63.7475	2
820.44480	411.22970	2	49.2223	1
820.46920	411.24190	2	46.3806	1
820.47140	411.24300	2	46.3545	1
820.48760	411.25110	2	72.3561	2
822.39050	412.20250	2	31.5199	1
822.42415	412.21935	2	37.9668	2
823.42620	412.72040	2	55.4780	2
826.36435	414.18945	2	36.7364	2
826.49095	414.25275	2	43.2299	2
826.49135	414.25295	2	40.7441	2
826.52800	414.27130	2	70.4165	2
826.52805	414.27130	2	50.6234	2
828.44515	415.22985	2	40.8631	2
829.46570	415.74010	2	42.6672	2
829.46600	415.74030	2	35.9651	1
829.49070	415.75265	2	56.5854	2
829.50330	415.75890	2	37.8090	2
831.49690	416.75575	2	70.5355	2
836.44040	419.22750	2	44.4194	2
837.40180	419.70815	2	48.8802	2
838.39745	420.20600	2	58.9686	2
840.54310	421.27885	2	75.5364	2
841.46615	421.74035	2	41.9410	2
841.49050	421.75250	2	55.7184	1
841.49285	421.75370	2	52.2966	2
842.48670	422.25065	2	43.2961	2
842.53410	422.27430	2	35.8975	1
843.48140	422.74800	2	45.6308	2
843.54205	422.77830	2	63.9022	2
844.45620	423.23535	2	54.7359	2
845.46035	423.73745	2	38.6968	2
845.46210	423.73835	2	45.1283	2
845.51370	423.76410	2	65.9666	1
846.42750	424.22105	2	43.9180	2
846.44820	424.23140	2	61.9366	1
848.43870	425.22665	2	42.9044	2
848.44975	425.23215	2	37.8774	2
849.41975	425.71715	2	47.5521	2
850.45425	426.23440	2	47.2902	2
850.50225	426.25840	2	40.6484	2
851.40195	426.70825	2	36.7919	2
854.45975	428.23715	2	41.0194	2
856.43260	429.22355	2	65.3326	2
856.47090	429.24275	2	51.3873	2
856.52070	429.26760	2	46.6397	1
856.53870	429.27660	2	58.6285	1
856.53910	429.27680	2	58.6045	1
857.45955	429.73705	2	41.2665	2
857.46235	429.73845	2	43.6782	2
857.49630	429.75540	2	55.8043	1
857.49695	429.75580	2	47.3505	2
857.49730	429.75590	2	55.8342	1
859.46430	430.73940	2	39.2820	2
859.46490	430.73975	2	47.8537	2
860.44270	431.22860	2	46.2164	1
860.45360	431.23410	2	45.5930	1
861.44730	431.73090	2	45.6608	2
861.47095	431.74275	2	61.1073	2
861.50800	431.76130	2	76.1303	2
863.45030	432.73240	2	36.3299	2
864.41905	433.21685	2	50.7049	2
864.50825	433.26140	2	64.7780	2
865.43020	433.72240	2	34.8114	2
866.49740	434.25600	2	43.5524	2
867.41675	434.71565	2	51.0041	2
868.46040	435.23745	2	39.0495	2
868.51295	435.26375	2	33.5802	2
869.49695	435.75580	2	35.8241	2
869.53330	435.77390	2	53.5797	2
869.53350	435.77405	2	60.7747	2
870.44845	436.23150	2	55.4188	2
870.48040	436.24750	2	44.0722	2
870.51665	436.26560	2	58.9129	2
870.55355	436.28405	2	51.9591	2
871.45185	436.73320	2	42.0257	2
872.47480	437.24470	2	40.8530	1
872.49910	437.25685	2	43.2895	2
873.47325	437.74390	2	51.4794	2
873.49620	437.75535	2	68.2751	2
874.45895	438.23675	2	50.7402	2
875.48845	438.75150	2	54.5346	2
875.52310	438.76880	2	61.7963	2
875.52320	438.76890	2	51.0818	1
876.41295	439.21375	2	40.7468	2
876.44550	439.23000	2	39.2192	2
876.47240	439.24350	2	51.1661	3
877.45460	439.73455	2	38.5750	2
877.46560	439.74005	2	50.5647	2
877.51020	439.76240	2	70.7889	1
878.48610	440.25040	2	51.2530	1
880.43010	441.22230	2	44.4975	1
880.51405	441.26435	2	44.8360	2
883.53775	442.77615	2	59.5894	2
884.54385	443.27920	2	55.1797	2
885.46615	443.74035	2	40.1008	2
885.49235	443.75345	2	52.3550	2
886.48695	444.25075	2	43.5838	2
887.45920	444.73690	2	37.6669	2
888.42860	445.22160	2	36.9552	1
889.46535	445.73995	2	49.1402	2
889.47685	445.74570	2	42.4872	2
891.44525	446.72990	2	50.2884	2
891.45620	446.73535	2	45.6910	2
891.48630	446.75040	2	43.8556	2
891.50665	446.76065	2	67.3226	2
892.44010	447.22735	2	41.3865	2
893.44985	447.73220	2	45.8642	2
893.60615	447.81035	2	76.4298	2
895.44840	448.73150	2	60.6689	1
896.41770	449.21610	2	38.7735	2
896.53235	449.27345	2	55.7867	2
897.50390	449.75925	2	35.1941	2
898.48700	450.25080	2	36.6994	2
898.49235	450.25345	2	45.4992	2
898.54610	450.28030	2	67.8767	1
898.56090	450.28770	2	56.1536	2
899.43700	450.72575	2	54.5407	2
899.45000	450.73225	2	41.9684	2
901.41150	451.71305	2	50.1140	2
901.43290	451.72370	2	40.4050	1
901.48700	451.75080	2	35.3339	1
901.52370	451.76915	2	43.7959	2
902.41480	452.21470	2	48.7269	1
902.50770	452.26115	2	48.0391	2
902.50810	452.26130	2	47.1557	1
903.48180	452.74820	2	54.0786	2
904.44450	453.22950	2	32.2087	3
906.46835	454.24145	2	33.4840	2
907.45140	454.73300	2	38.5825	2
908.50595	455.26025	2	55.8875	2
908.56915	455.29185	2	57.9132	2
911.37950	456.69705	2	35.4632	2
911.46585	456.74020	2	73.5015	2
912.54720	457.28090	2	43.7472	1
912.56435	457.28945	2	65.2168	2
913.44620	457.73040	2	43.0142	1
913.50815	457.76135	2	34.6017	2
913.56010	457.78735	2	40.4438	2
913.59650	457.80550	2	41.7528	1
914.50705	458.26080	2	42.2334	2
914.51860	458.26660	2	47.1354	2
915.50625	458.76040	2	33.9948	2
915.53900	458.77680	2	36.6486	2
916.49765	459.25610	2	38.9793	2
918.48385	460.24920	2	54.4810	2
918.49280	460.25365	2	65.0760	2
918.51785	460.26620	2	57.8610	2
919.47170	460.74310	2	53.6221	3
919.50735	460.76095	2	53.7261	2
919.51280	460.76365	2	47.8332	2
919.51635	460.76545	2	58.2896	2
920.49580	461.25520	2	47.9502	2
920.50800	461.26130	2	42.8636	1
922.43990	462.22725	2	50.9065	2
923.43520	462.72485	2	44.9885	2
924.42985	463.22220	2	38.6409	2
924.56400	463.28925	2	56.4538	2
926.51895	464.26675	2	40.3495	2
926.58060	464.29760	2	61.2592	2
926.59140	464.30295	2	62.3394	2
927.37505	464.69485	2	30.9964	2
927.44550	464.73000	2	47.6485	2
927.53860	464.77660	2	59.3105	1
928.45465	465.23460	2	51.6272	2
928.53395	465.27425	2	50.9130	2
928.55940	465.28700	2	63.5697	2
929.43880	465.72670	2	35.2400	1
929.45690	465.73570	2	31.5150	1
929.48085	465.74770	2	38.3361	2
929.49955	465.75705	2	53.9370	2
929.51240	465.76350	2	49.3579	2
929.51835	465.76645	2	37.6134	2
929.51875	465.76665	2	42.3601	2
929.94840	465.98150	2	41.8101	4
930.44260	466.22860	2	33.4317	1
930.47025	466.24240	2	36.7239	2
930.47880	466.24670	2	43.1097	1
931.44515	466.72985	2	29.7608	2
931.50180	466.75820	2	56.7711	2
931.51245	466.76350	2	58.7894	2
931.53330	466.77390	2	68.7129	2
932.54390	467.27920	2	43.3836	2
933.45590	467.73525	2	38.6055	2
933.48490	467.74970	2	52.6260	1
933.50350	467.75900	2	53.3456	2
933.53960	467.77710	2	34.4521	1
934.41655	468.21555	2	41.2335	2
934.45115	468.23285	2	40.5336	2
934.48680	468.25070	2	34.9091	3
934.51310	468.26385	2	59.3752	2
934.98505	468.49980	2	44.5244	4
935.40390	468.70920	2	27.5358	1
935.47145	468.74300	2	46.0241	2
935.47185	468.74320	2	61.0122	2
937.41380	469.71415	2	36.3064	2
937.48700	469.75075	2	41.8857	2
938.43450	470.22455	2	39.1591	2
939.54855	470.78155	2	56.7355	2
939.56365	470.78910	2	81.6134	2
940.44385	471.22920	2	46.1338	2
941.60695	471.81075	2	80.2200	2
941.92885	471.97170	2	40.0335	4
943.48875	472.75165	2	44.8943	2
943.51455	472.76455	2	48.9620	4
943.52385	472.76920	2	63.2440	2
944.43170	473.22315	2	64.4130	2
944.49145	473.25300	2	44.2244	2
944.55490	473.28470	2	55.5646	2
945.49645	473.75550	2	45.5210	2
945.51345	473.76400	2	41.9160	2
945.54920	473.78190	2	59.5592	2
946.50900	474.26175	2	38.5206	2
947.48580	474.75020	2	46.2584	3
947.51450	474.76450	2	72.2943	2
949.48600	475.75025	2	55.1277	2
949.49175	475.75315	2	87.6370	2
949.52795	475.77125	2	80.4574	2
950.45400	476.23430	2	51.2026	1
950.48170	476.24815	2	47.6811	2
950.50620	476.26040	2	52.7186	2
952.45020	477.23240	2	44.2785	2
952.53380	477.27415	2	43.4125	2
954.52905	478.27180	2	62.8646	2
956.50320	479.25885	2	39.7578	2
956.51860	479.26655	2	38.0745	2
956.52875	479.27165	2	54.2544	2
956.52970	479.27210	2	45.2311	2
956.57950	479.29705	2	78.5010	2
957.48745	479.75100	2	34.0759	2
957.52500	479.76980	2	42.1651	1
957.59835	479.80645	2	48.3901	2
958.48710	480.25085	2	57.3059	2
959.50685	480.76070	2	42.2125	2
959.52945	480.77200	2	43.8358	2
960.47535	481.24495	2	43.1444	2
960.51270	481.26365	2	40.5544	2
960.53140	481.27300	2	58.3978	1
960.53885	481.27670	2	62.3639	2
962.47135	482.24295	2	40.2948	2
962.47450	482.24450	2	47.2516	1
962.50180	482.25820	2	63.2933	1
962.51990	482.26720	2	56.3783	1
963.44470	482.72960	2	55.4271	2
963.50340	482.75900	2	41.4792	2
963.50615	482.76035	2	36.1786	2
963.55515	482.78485	2	75.5748	2
964.49750	483.25600	2	44.1668	2
964.52325	483.26890	2	55.0301	2
965.46070	483.73770	2	38.9445	1
965.48065	483.74760	2	61.5288	2
966.46720	484.24090	2	38.3263	3
966.47090	484.24270	2	45.6253	1
967.48005	484.74730	2	58.7629	2
967.51990	484.76720	2	30.9080	1
967.54625	484.78040	2	47.6216	2
