mono_mass	mz	charge	rt	n_psm
798.41220	400.21340	2	40.2748	1
798.48500	400.24980	2	59.1176	3
798.49030	400.25240	2	34.9329	1
799.45555	400.73505	2	50.6132	2
800.43915	401.22685	2	45.4193	2
800.43970	401.22710	2	42.0205	2
800.45465	401.23460	2	52.6379	2
801.43570	401.72515	2	38.7485	2
801.46000	401.73730	2	46.4347	1
801.53190	401.77325	2	46.6221	2
802.38610	402.20030	2	40.6843	2
802.49795	402.25625	2	63.4705	2
805.44480	403.72970	2	52.9008	1
806.39590	404.20520	2	39.5678	1
806.41785	404.21620	2	72.9362	2
806.45400	404.23430	2	51.6070	1
806.45450	404.23455	2	61.9685	2
807.41275	404.71365	2	41.8723	2
808.36245	405.18850	2	38.8377	2
808.43820	405.22640	2	38.3538	2
811.35610	406.68535	2	39.4340	2
811.49150	406.75300	2	50.9253	2
812.42290	407.21875	2	44.4032	2
812.43915	407.22685	2	41.7740	2
812.47605	407.24530	2	61.3158	2
812.48690	407.25075	2	46.2716	2
812.51150	407.26305	2	50.5205	2
813.43690	407.72575	2	35.7787	2
814.43735	408.22595	2	42.3065	2
814.45440	408.23450	2	36.5524	2
814.45570	408.23520	2	52.9860	1
814.51640	408.26545	2	60.2481	2
815.43900	408.72680	2	40.6508	2
815.45670	408.73560	2	44.3076	1
815.46835	408.74145	2	58.1841	2
815.47610	408.74530	2	43.9704	3
815.47940	408.74700	2	47.8827	1
815.49720	408.75585	2	40.0603	2
815.51115	408.76285	2	47.7754	2
816.44960	409.23205	2	68.1954	2
816.47125	409.24290	2	39.5061	2
817.42940	409.72200	2	36.9190	2
817.44755	409.73105	2	35.6253	2
817.48160	409.74810	2	68.6980	1
818.44055	410.22755	2	54.0675	2
818.49025	410.25240	2	75.8058	2
819.39420	410.70440	2	36.8637	2
819.43065	410.72260	2	64.6905	2
820.43450	411.22455	2	40.7601	2
820.46980	411.24220	2	47.0922	2
820.48800	411.25130	2	73.5070	2
821.44670	411.73060	2	35.6847	2
822.39145	412.20300	2	33.3247	4
822.42470	412.21960	2	38.8741	2
823.42715	412.72085	2	56.2035	2
823.44380	412.72920	2	46.6768	1
824.54935	413.28195	2	73.0281	2
826.43760	414.22610	2	43.2294	1
826.45570	414.23510	2	49.5841	1
826.49150	414.25300	2	43.8721	2
826.52790	414.27120	2	71.4050	2
826.52890	414.27175	2	51.1793	2
827.48615	414.75035	2	50.2420	2
827.49710	414.75580	2	39.7471	2
828.41655	415.21555	2	33.1634	2
828.47460	415.24460	2	40.7398	1
828.50760	415.26110	2	52.7538	1
829.44825	415.73140	2	41.8239	2
829.45660	415.73560	2	47.4915	1
829.46450	415.73950	2	36.6938	1
829.46540	415.74000	2	36.7915	1
829.49145	415.75300	2	57.2243	2
829.50270	415.75870	2	38.9368	2
830.45210	416.23340	2	42.0439	1
831.47010	416.74230	2	37.3754	2
831.47010	416.74240	2	50.0813	1
831.49650	416.75550	2	71.7094	2
831.49725	416.75590	2	63.7803	2
832.39260	417.20355	2	36.3227	2
832.41230	417.21350	2	44.3661	1
832.92960	417.47210	2	46.6552	4
833.43260	417.72360	2	46.4996	1
834.43460	418.22460	2	39.8272	2
