mono_mass	mz	charge	rt	n_psm
798.41300	400.21380	2	39.3088	1
798.46070	400.23770	2	44.5184	1
799.45470	400.73460	2	50.2861	2
800.43895	401.22675	2	44.7766	2
800.43955	401.22705	2	41.2640	2
800.45465	401.23460	2	52.4132	2
801.43540	401.72500	2	37.5601	2
801.53260	401.77360	2	46.0630	2
802.38635	402.20045	2	39.7323	2
802.49860	402.25660	2	63.1141	1
806.39610	404.20530	2	38.4679	2
806.45430	404.23450	2	51.5020	1
807.41255	404.71355	2	40.9769	2
808.36240	405.18845	2	37.6990	2
808.43870	405.22660	2	37.1468	1
811.35470	406.68460	2	38.4105	2
812.42220	407.21840	2	43.9268	2
812.43900	407.22675	2	41.0081	2
812.47570	407.24515	2	60.9771	2
812.48680	407.25065	2	45.6906	2
812.51180	407.26320	2	50.1641	2
813.43715	407.72585	2	34.5940	2
814.45310	408.23385	2	44.4415	2
814.45525	408.23490	2	35.2786	2
814.45555	408.23510	2	52.7795	2
814.51675	408.26565	2	59.9179	2
815.43885	408.72670	2	39.7274	2
815.46890	408.74170	2	57.9160	1
815.47560	408.74510	2	43.2820	3
815.47735	408.74595	2	47.3726	2
815.49745	408.75600	2	39.0376	2
815.51040	408.76250	2	47.2433	1
816.44970	409.23215	2	67.6946	2
816.47055	409.24255	2	38.4179	2
817.44775	409.73115	2	34.4012	2
818.44060	410.22755	2	53.8594	2
818.49045	410.25250	2	75.3878	2
819.39515	410.70485	2	35.5588	2
819.43110	410.72285	2	64.3427	2
820.43465	411.22460	2	39.8688	2
820.46960	411.24210	2	46.5605	2
820.48825	411.25140	2	73.0543	2
821.42900	411.72180	2	41.7253	1
821.44745	411.73100	2	34.7125	2
822.39040	412.20250	2	31.1066	2
822.42445	412.21950	2	37.7955	2
823.41930	412.71690	2	37.2117	1
823.42680	412.72065	2	55.9334	2
823.44350	412.72900	2	46.1722	1
824.54835	413.28145	2	72.4847	2
826.43650	414.22555	2	42.5941	2
826.49135	414.25300	2	43.2056	2
826.52770	414.27115	2	50.8829	2
826.52800	414.27130	2	70.8799	2
827.49740	414.75595	2	38.8374	2
828.41560	415.21510	2	32.5567	1
828.44600	415.23030	2	40.7342	3
828.44980	415.23220	2	60.2179	1
828.50750	415.26100	2	52.5322	1
829.45470	415.73460	2	46.8988	1
829.46575	415.74015	2	42.6668	2
829.46585	415.74020	2	35.7129	2
829.49125	415.75290	2	56.9229	2
829.50285	415.75870	2	37.6772	2
830.45210	416.23330	2	41.2914	1
831.49700	416.75575	2	63.4390	2
831.49700	416.75580	2	71.2079	2
832.39230	417.20345	2	35.2252	2
832.42970	417.22210	2	46.0553	3
833.43180	417.72320	2	45.9041	1
833.43985	417.72720	2	63.9117	2
834.39050	418.20250	2	34.9964	2
834.43480	418.22470	2	38.7446	2
835.41390	418.71420	2	48.0929	2
835.44410	418.72935	2	44.2833	2
836.39055	419.20260	2	41.4735	2
836.39970	419.20710	2	42.1727	1
836.44130	419.22795	2	44.4638	2
836.44215	419.22835	2	57.5490	2
837.40265	419.70860	2	49.1140	2
837.40620	419.71035	2	55.4328	2
838.41735	420.21595	2	38.2998	2
839.42945	420.72200	2	56.1930	2
839.58485	420.79970	2	74.5450	2
840.47060	421.24260	2	43.9040	1
840.54275	421.27865	2	76.2691	2
840.54300	421.27880	2	60.9376	1
841.46630	421.74045	2	41.8437	2
841.49215	421.75335	2	55.9679	2
841.49335	421.75395	2	52.6418	2
842.42800	422.22130	2	48.7963	1
842.46105	422.23780	2	40.8130	2
842.48610	422.25035	2	53.1114	2
842.48670	422.25065	2	43.4279	2
842.48830	422.25145	2	39.4133	2
842.52265	422.26860	2	72.2891	2
842.52315	422.26885	2	50.3978	2
842.53425	422.27445	2	35.4312	2
843.45285	422.73370	2	40.3298	2
843.48145	422.74800	2	45.7361	2
843.54275	422.77865	2	64.5184	2
844.45495	423.23475	2	55.1328	2
844.46510	423.23980	2	36.2155	2
845.46045	423.73755	2	38.4366	2
845.46135	423.73795	2	45.2607	2
845.46480	423.73965	2	68.6533	2
845.51205	423.76330	2	66.4122	2
845.53755	423.77605	2	77.7800	2
846.42775	424.22115	2	43.9326	2
846.44855	424.23155	2	62.2576	2
847.42330	424.71890	2	44.9393	3
847.44495	424.72975	2	41.7269	2
847.48040	424.74745	2	46.6288	2
848.43920	425.22690	2	42.8679	2
848.43965	425.22710	2	53.9950	2
848.44315	425.22885	2	37.5467	2
849.42025	425.71745	2	47.8812	2
849.44195	425.72825	2	53.7245	2
850.35650	426.18550	2	38.9630	1
850.38555	426.20005	2	27.1026	2
850.45265	426.23365	2	47.5108	2
850.50235	426.25845	2	40.8059	2
851.40300	426.70880	2	36.3575	1
851.42130	426.71790	2	50.5782	1
851.42160	426.71805	2	46.7680	2
851.43710	426.72580	2	34.7859	1
851.43945	426.72700	2	38.0322	2
853.36100	427.68775	2	37.8480	2
853.39790	427.70620	2	43.8264	2
854.43980	428.22715	2	58.1985	2
854.46070	428.23765	2	40.9261	2
855.54290	428.77870	2	54.7526	1
856.43295	429.22375	2	65.6574	2
856.44770	429.23115	2	66.6452	2
856.47010	429.24230	2	51.4151	2
856.51230	429.26340	2	49.3354	1
856.51260	429.26360	2	58.1440	1
856.51500	429.26480	2	46.8921	2
856.53850	429.27655	2	58.9389	2
857.46195	429.73825	2	41.1810	2
857.49635	429.75545	2	47.4501	2
857.49675	429.75570	2	56.1357	2
858.45750	430.23600	2	45.4509	1
858.48030	430.24740	2	34.0100	2
858.96785	430.49120	2	44.8112	4
859.46475	430.73965	2	48.0587	2
859.46500	430.73980	2	39.0966	2
860.42400	431.21930	2	37.0149	2
860.46050	431.23750	2	34.4712	1
861.44465	431.72960	2	45.5878	2
861.47150	431.74305	2	48.9236	2
861.49610	431.75530	2	46.7641	1
861.50775	431.76115	2	77.0468	2
861.53305	431.77380	2	51.6864	2
862.38670	432.20060	2	40.3176	1
862.41870	432.21665	2	37.4776	2
863.45060	432.73255	2	35.9007	2
863.45770	432.73610	2	60.0070	1
864.42030	433.21745	2	51.0311	2
864.50695	433.26075	2	65.3432	2
865.41830	433.71640	2	36.2835	2
865.50185	433.75820	2	36.7776	2
866.49760	434.25610	2	43.8760	2
867.39690	434.70570	2	38.4926	1
867.41605	434.71530	2	51.2972	2
867.43390	434.72425	2	40.1042	2
868.45885	435.23675	2	39.0716	2
868.51305	435.26380	2	33.4624	2
869.49175	435.75315	2	35.3160	2
869.53330	435.77390	2	53.5987	1
869.53350	435.77405	2	61.1140	2
869.55850	435.78650	2	68.2953	2
870.43770	436.22610	2	34.8539	2
870.44990	436.23225	2	55.8753	2
870.51740	436.26600	2	59.2153	2
870.55440	436.28445	2	52.6278	2
871.45115	436.73285	2	41.9258	2
871.53740	436.77600	2	60.5962	2
872.47040	437.24250	2	36.7368	1
872.47505	437.24480	2	41.0391	2
872.49735	437.25595	2	43.3189	2
872.51520	437.26490	2	65.1317	2
873.47130	437.74295	2	46.4738	2
873.47515	437.74485	2	51.7416	2
873.48020	437.74740	2	49.6396	1
873.49565	437.75510	2	68.7664	2
874.43350	438.22405	2	45.8620	2
874.44890	438.23170	2	34.0670	2
874.45880	438.23670	2	50.9964	2
874.46545	438.24000	2	44.3288	2
874.46950	438.24205	2	36.8800	2
875.52265	438.76860	2	62.2780	2
876.41235	439.21345	2	40.3854	2
876.43815	439.22635	2	49.1210	2
876.47040	439.24250	2	51.4190	2
876.47865	439.24660	2	55.2224	2
876.49570	439.25515	2	69.1611	2
