mono_mass	mz	charge	rt	n_psm
798.41230	400.21350	2	40.2891	1
798.45980	400.23720	2	45.1913	1
799.45570	400.73510	2	50.6060	2
800.43955	401.22705	2	45.4432	2
800.43960	401.22710	2	41.9613	2
800.45460	401.23455	2	52.5459	2
801.43600	401.72530	2	38.6659	2
801.53285	401.77370	2	46.3886	2
802.38625	402.20040	2	40.6253	2
802.49900	402.25680	2	63.2138	2
805.40780	403.71120	2	46.6269	1
805.44520	403.72990	2	52.7340	2
806.39605	404.20530	2	39.4964	2
806.41720	404.21590	2	72.7730	1
806.45385	404.23420	2	61.7916	2
806.45405	404.23430	2	51.6475	2
807.41315	404.71385	2	41.8256	2
808.36320	405.18890	2	38.8902	2
808.43880	405.22665	2	38.0370	2
809.41785	405.71625	2	63.9036	2
810.36955	406.19205	2	48.6448	2
811.35570	406.68510	2	39.3398	1
811.49170	406.75315	2	50.9067	2
812.42330	407.21890	2	44.3732	1
812.43865	407.22660	2	41.7068	2
812.48690	407.25075	2	46.2311	2
812.51150	407.26305	2	50.4545	2
813.49710	407.75580	2	30.6547	1
814.45440	408.23450	2	36.2967	2
814.45520	408.23490	2	52.9839	1
815.44180	408.72820	2	40.5667	2
815.45065	408.73260	2	37.6473	2
815.46900	408.74175	2	58.0781	2
815.47565	408.74510	2	43.9007	2
815.47775	408.74615	2	47.9384	2
815.49745	408.75600	2	39.8022	2
815.51210	408.76330	2	47.7453	2
816.39740	409.20600	2	34.4641	1
816.47030	409.24240	2	39.4246	1
817.42930	409.72195	2	36.6608	2
817.48070	409.74760	2	68.2486	2
818.44030	410.22745	2	53.9809	2
818.48975	410.25215	2	75.2625	2
819.39135	410.70295	2	37.1001	2
819.43070	410.72265	2	64.3979	2
820.43395	411.22425	2	40.7235	2
820.46945	411.24200	2	47.1523	2
820.48870	411.25160	2	73.0522	2
821.39560	411.70510	2	30.7687	1
821.44710	411.73080	2	35.5099	2
822.39030	412.20240	2	32.4642	3
822.42445	412.21950	2	38.7497	2
823.42690	412.72070	2	56.0959	2
824.43270	413.22360	2	30.8243	1
824.54880	413.28170	2	72.5182	1
826.36440	414.18950	2	37.6596	2
826.49095	414.25280	2	43.8889	2
826.49130	414.25290	2	41.4700	2
826.52745	414.27100	2	51.1357	2
826.52780	414.27115	2	71.0020	2
827.35110	414.68280	2	33.1272	1
827.48685	414.75070	2	50.2166	2
828.41485	415.21470	2	33.3325	2
828.47580	415.24520	2	40.8177	1
828.48200	415.24825	2	33.0726	2
828.50730	415.26090	2	52.6317	1
829.43090	415.72270	2	42.0078	5
829.46570	415.74010	2	36.6682	2
829.49120	415.75290	2	57.1928	3
829.50350	415.75905	2	38.6399	2
831.47030	416.74240	2	37.2514	1
831.49680	416.75565	2	71.2109	2
832.39435	417.20445	2	36.3728	2
832.93040	417.47250	2	46.7090	4
833.47560	417.74510	2	55.5778	1
834.43430	418.22445	2	39.7553	2
835.44480	418.72970	2	45.0332	3
836.39140	419.20300	2	42.3290	2
836.40110	419.20785	2	42.9584	2
836.44045	419.22750	2	57.9056	2
836.44180	419.22820	2	45.0950	1
837.40565	419.71010	2	55.6441	2
838.41750	420.21600	2	39.3627	1
839.42900	420.72180	2	56.4392	1
839.58495	420.79975	2	74.5209	2
840.54315	421.27885	2	61.1117	2
840.54325	421.27890	2	76.1940	2
841.46580	421.74015	2	42.5632	2
841.49190	421.75320	2	56.1727	1
841.49355	421.75405	2	52.7566	2
842.42860	422.22155	2	49.2772	2
842.46110	422.23785	2	41.6180	2
842.48525	422.24990	2	53.3605	2
842.48680	422.25065	2	43.9541	2
842.48720	422.25085	2	40.3566	2
842.52260	422.26855	2	72.2900	2
842.52310	422.26885	2	50.6407	2
842.53405	422.27430	2	36.5380	2
843.48110	422.74785	2	46.3320	2
843.54285	422.77870	2	64.5776	2
844.45610	423.23530	2	55.2800	2
844.46465	423.23960	2	37.3866	2
845.46075	423.73765	2	39.4651	2
845.46115	423.73785	2	45.8586	2
845.46460	423.73960	2	68.7001	2
845.48570	423.75015	2	54.0123	2
845.51180	423.76320	2	66.5136	2
845.53775	423.77615	2	77.6145	2
846.44930	424.23195	2	62.4847	2
846.92545	424.47000	2	45.0535	2
847.42320	424.71890	2	45.4915	1
847.48130	424.74790	2	47.2087	1
848.43900	425.22675	2	54.1374	2
848.44830	425.23145	2	38.6136	2
848.94960	425.48210	2	43.8482	4
849.41980	425.71720	2	48.3047	2
849.43600	425.72525	2	54.8084	2
849.44180	425.72820	2	53.8583	1
850.45380	426.23420	2	48.0468	2
850.50250	426.25855	2	41.4502	2
851.40290	426.70875	2	37.5924	2
851.42190	426.71820	2	47.3294	1
851.43800	426.72630	2	35.6659	1
851.43905	426.72680	2	39.0335	2
853.36150	427.68800	2	38.9489	2
854.46030	428.23740	2	41.6807	2
855.51760	428.76610	2	52.6577	1
856.43195	429.22325	2	65.8300	2
856.46980	429.24220	2	51.4894	2
856.47940	429.24700	2	47.3660	1
856.51295	429.26375	2	49.7550	2
856.51680	429.26570	2	47.4043	2
856.53895	429.27675	2	59.2536	2
857.46205	429.73830	2	41.9680	2
857.46240	429.73845	2	44.2634	2
857.49600	429.75530	2	48.0408	1
857.49680	429.75570	2	56.3724	1
858.45650	430.23555	2	46.0417	2
858.48075	430.24765	2	34.8750	2
858.96325	430.48890	2	39.9820	4
860.42415	431.21935	2	38.1294	2
860.44225	431.22840	2	46.9032	2
860.46080	431.23770	2	35.5686	1
860.46770	431.24115	2	48.9566	4
861.44460	431.72960	2	46.2791	2
861.47150	431.74305	2	61.8120	2
861.50710	431.76085	2	76.8478	2
861.53245	431.77350	2	51.6163	2
862.38540	432.20000	2	40.9985	1
862.41950	432.21705	2	38.4452	2
863.45095	432.73275	2	37.0380	2
863.45750	432.73600	2	60.3026	1
864.41950	433.21705	2	51.1980	2
864.43400	433.22430	2	54.0915	1
864.50780	433.26115	2	65.3901	2
865.41860	433.71660	2	37.5478	1
865.91285	433.96370	2	41.9532	2
866.41230	434.21350	2	42.2094	1
866.49935	434.25695	2	44.2956	2
867.41590	434.71520	2	51.5514	2
868.45860	435.23655	2	39.8370	2
868.50135	435.25795	2	46.1660	2
868.51300	435.26375	2	34.2450	2
869.49700	435.75575	2	36.5104	2
869.53350	435.77400	2	53.7758	2
869.53400	435.77430	2	61.3613	2
869.55905	435.78680	2	68.4084	2
870.44860	436.23160	2	55.9794	2
870.48170	436.24815	2	44.8444	2
870.51790	436.26625	2	59.5984	2
870.55460	436.28455	2	52.4898	2
871.45090	436.73275	2	42.6363	2
871.53800	436.77630	2	60.8924	2
872.47540	437.24500	2	41.7060	1
872.49770	437.25610	2	43.9742	2
872.51530	437.26490	2	65.2776	2
873.47420	437.74440	2	51.9631	1
873.49615	437.75535	2	68.9121	2
874.43320	438.22385	2	46.5783	2
