mono_mass	mz	charge	rt	n_psm
798.41270	400.21360	2	39.6649	2
798.45990	400.23720	2	44.4164	1
798.48530	400.24995	2	58.1834	2
798.48970	400.25210	2	33.4115	2
799.45550	400.73500	2	49.7616	2
800.43960	401.22705	2	39.2308	2
800.43960	401.22710	2	41.2887	3
800.45455	401.23455	2	51.8099	2
801.43540	401.72500	2	37.9312	2
801.53270	401.77365	2	45.3670	2
802.38640	402.20050	2	39.9215	2
802.45850	402.23650	2	59.8206	1
802.49805	402.25630	2	62.3536	2
805.40840	403.71145	2	45.8858	2
805.44450	403.72950	2	51.9368	1
806.39535	404.20495	2	38.7539	2
806.45415	404.23435	2	60.9596	2
806.45440	404.23445	2	50.9308	2
806.49050	404.25250	2	57.3270	1
807.41280	404.71365	2	41.1025	2
808.36285	405.18870	2	37.9604	2
808.39680	405.20565	2	50.0330	2
808.44060	405.22760	2	37.0378	1
808.44220	405.22840	2	37.0123	1
810.37050	406.19250	2	48.0168	1
811.35410	406.68430	2	38.7034	2
811.49145	406.75300	2	50.1429	2
812.42255	407.21855	2	43.5941	2
812.43920	407.22690	2	41.0508	2
812.47510	407.24480	2	60.8279	1
812.48770	407.25110	2	45.4665	2
812.51230	407.26345	2	49.5879	2
814.45480	408.23470	2	35.5917	2
814.45510	408.23480	2	52.2262	2
814.51685	408.26570	2	59.2632	2
815.43940	408.72700	2	39.8313	2
815.45080	408.73270	2	36.9652	2
815.46925	408.74190	2	57.2252	2
815.47545	408.74500	2	43.1319	2
815.47905	408.74680	2	47.0726	2
815.49760	408.75610	2	38.9711	2
815.51150	408.76305	2	46.9354	2
816.38445	409.19950	2	52.0217	2
816.45025	409.23240	2	66.9717	2
816.47110	409.24280	2	38.6469	2
817.42930	409.72190	2	38.1634	1
817.42950	409.72205	2	35.9075	2
817.48145	409.74800	2	67.3988	2
818.37670	410.19560	2	36.8194	1
818.44030	410.22740	2	53.3621	3
818.48990	410.25220	2	74.3702	2
819.39110	410.70285	2	36.4295	2
819.43025	410.72240	2	63.5701	2
820.43365	411.22410	2	40.0176	2
820.46925	411.24190	2	46.3662	2
820.48880	411.25170	2	72.1607	2
821.44725	411.73090	2	34.5758	2
822.39055	412.20255	2	32.5853	4
822.42460	412.21960	2	38.1168	2
823.41810	412.71630	2	37.5026	1
823.41860	412.71660	2	37.5417	1
823.42650	412.72055	2	55.1791	2
823.44340	412.72900	2	45.7881	1
824.54825	413.28140	2	71.6864	2
826.45510	414.23480	2	48.5846	1
826.49020	414.25235	2	40.7255	2
826.49100	414.25280	2	43.1472	2
826.52730	414.27090	2	50.2584	2
826.52770	414.27115	2	70.1668	2
827.48630	414.75045	2	49.3810	2
828.41670	415.21565	2	32.2866	2
828.44975	415.23215	2	59.7120	2
828.50720	415.26090	2	51.8047	1
829.44815	415.73135	2	41.1023	4
829.45540	415.73500	2	46.7067	1
829.46475	415.73965	2	35.8507	2
829.49090	415.75275	2	56.3542	2
829.50250	415.75850	2	37.8418	2
829.50305	415.75880	2	51.1082	2
831.47000	416.74230	2	49.2194	2
831.47040	416.74250	2	36.4646	1
831.49710	416.75580	2	62.4526	2
831.49725	416.75590	2	70.3162	2
832.39360	417.20410	2	35.6628	2
832.42890	417.22175	2	46.0333	2
834.43540	418.22500	2	39.1414	2
835.44425	418.72940	2	44.2515	2
836.40140	419.20795	2	42.2828	2
836.44045	419.22750	2	57.1637	2
836.44090	419.22770	2	44.3890	2
837.40265	419.70860	2	48.6012	2
837.40525	419.70990	2	54.7856	2
838.41730	420.21590	2	38.6050	1
839.42970	420.72215	2	55.5816	2
839.58470	420.79965	2	73.6105	2
840.47040	421.24245	2	43.9258	2
840.54320	421.27885	2	75.3544	2
840.54350	421.27900	2	60.1650	2
841.46645	421.74050	2	41.8798	2
841.49240	421.75345	2	55.3686	2
841.49425	421.75440	2	52.0706	2
842.42885	422.22170	2	48.4330	2
842.46130	422.23795	2	40.8655	2
842.48580	422.25015	2	52.7133	2
842.48665	422.25060	2	43.2005	2
842.48740	422.25095	2	39.6232	2
842.52280	422.26870	2	49.7877	2
