mono_mass	mz	charge	rt	n_psm
798.41240	400.21350	2	37.8742	1
798.46050	400.23750	2	43.4463	1
798.48545	400.25000	2	57.5461	2
799.45500	400.73480	2	49.2631	2
800.43900	401.22680	2	43.7978	2
800.43990	401.22725	2	40.0769	2
800.44020	401.22740	2	42.2157	1
800.45485	401.23475	2	51.3139	2
801.43550	401.72505	2	36.3196	2
801.53355	401.77405	2	44.5553	2
802.38650	402.20055	2	38.4832	2
802.45510	402.23480	2	42.8739	1
802.49830	402.25650	2	61.7461	2
805.40790	403.71120	2	45.0398	2
805.44520	403.72990	2	51.3783	2
806.39535	404.20495	2	37.2263	2
806.45380	404.23415	2	60.4196	2
806.45510	404.23485	2	50.5726	2
807.41285	404.71370	2	39.7337	2
808.36295	405.18875	2	36.3750	2
808.39725	405.20590	2	49.4654	2
808.44380	405.22920	2	35.4726	1
808.44460	405.22960	2	35.4353	1
811.35370	406.68410	2	37.0843	2
811.49150	406.75300	2	49.6963	2
812.42265	407.21860	2	42.6170	2
812.43895	407.22675	2	39.7868	2
812.47555	407.24505	2	60.2309	2
812.48730	407.25095	2	44.6202	2
812.51155	407.26305	2	49.0598	2
814.45455	408.23460	2	34.0345	2
814.45555	408.23505	2	51.6913	2
814.51635	408.26545	2	58.6057	2
815.44230	408.72840	2	38.3710	2
815.46870	408.74165	2	56.6452	2
815.47495	408.74475	2	41.9364	2
815.47690	408.74570	2	46.3452	2
815.49785	408.75620	2	37.5679	2
816.38345	409.19900	2	51.5325	2
816.44970	409.23210	2	66.4375	2
816.47090	409.24270	2	37.1761	2
817.42985	409.72220	2	34.2288	2
817.48130	409.74790	2	66.8303	2
818.43290	410.22370	2	43.2186	1
818.43995	410.22725	2	52.8898	2
818.49010	410.25235	2	73.8865	2
819.39135	410.70295	2	34.6201	2
819.43045	410.72250	2	63.0098	2
819.44840	410.73150	2	39.5219	1
820.43325	411.22390	2	38.6366	2
820.46965	411.24210	2	45.5969	2
820.48850	411.25155	2	71.6932	2
821.42855	411.72155	2	40.5016	2
822.39120	412.20285	2	30.7355	4
822.42405	412.21930	2	36.5280	2
822.42425	412.21940	2	42.5861	2
823.41790	412.71620	2	35.8611	1
823.42600	412.72025	2	54.6606	2
823.44400	412.72930	2	44.9627	1
824.54860	413.28155	2	71.1525	2
826.49135	414.25300	2	39.4949	2
826.49140	414.25295	2	42.0705	2
826.52720	414.27090	2	49.7907	2
826.52765	414.27110	2	69.6644	2
827.48580	414.75020	2	48.8078	1
828.44100	415.22780	2	31.5465	1
828.44550	415.23000	2	39.6511	3
828.44930	415.23190	2	59.1493	1
828.47790	415.24620	2	38.5210	2
828.50710	415.26080	2	51.4574	1
829.45500	415.73480	2	45.8134	1
829.46390	415.73920	2	41.5206	2
829.46560	415.74005	2	34.2026	2
829.49130	415.75290	2	39.2115	2
829.49185	415.75320	2	55.7163	2
829.50325	415.75890	2	36.3122	2
829.50375	415.75915	2	50.6032	2
830.43250	416.22350	2	29.9164	1
830.45110	416.23280	2	40.0956	1
831.46940	416.74195	2	34.8105	2
831.46970	416.74210	2	48.6057	2
831.49650	416.75550	2	69.8323	2
832.39225	417.20340	2	33.9489	2
832.41250	417.21350	2	42.6554	2
832.42920	417.22190	2	45.1301	2
833.43100	417.72280	2	44.9730	1
834.43455	418.22455	2	37.6923	2
835.44460	418.72960	2	43.2254	2
836.38895	419.20175	2	40.2086	2
836.40155	419.20805	2	41.0558	2
836.43960	419.22705	2	56.5498	2
836.44025	419.22740	2	43.4512	2
837.40310	419.70885	2	48.0529	2
837.40575	419.71015	2	54.3631	2
838.41825	420.21640	2	37.0793	2
838.49190	420.25320	2	42.6722	1
839.42915	420.72185	2	55.0323	2
839.58485	420.79970	2	73.1779	2
840.47090	421.24270	2	42.9394	2
840.54285	421.27870	2	59.6230	2
840.54315	421.27885	2	74.8920	2
841.49160	421.75310	2	54.8265	2
841.96100	421.98775	2	41.2305	4
842.42820	422.22135	2	47.9026	2
842.46080	422.23770	2	39.5813	2
842.48530	422.24990	2	52.2485	2
842.48675	422.25065	2	42.2735	2
842.48770	422.25115	2	38.1986	2
842.52195	422.26825	2	70.9216	2
842.52200	422.26830	2	49.2980	2
842.53330	422.27390	2	34.0954	2
843.46920	422.74190	2	39.5169	1
843.48145	422.74800	2	44.7295	2
843.54255	422.77855	2	63.1868	2
844.45490	423.23475	2	53.9569	2
844.46425	423.23940	2	34.9879	2
845.46045	423.73750	2	37.1685	2
845.46135	423.73795	2	44.2404	2
845.46505	423.73980	2	67.2784	2
845.48650	423.75050	2	52.7666	1
845.51190	423.76320	2	65.1087	2
845.53775	423.77615	2	76.2103	2
846.39900	424.20680	2	36.7547	2
846.42810	424.22135	2	42.7886	2
846.44860	424.23160	2	61.1003	2
846.48000	424.24730	2	35.4403	1
847.42330	424.71895	2	43.8109	2
847.44500	424.72980	2	40.6351	2
847.48100	424.74780	2	45.6303	2
848.43940	425.22695	2	41.8086	2
848.43955	425.22705	2	53.2310	2
848.44495	425.22975	2	36.2877	2
849.42010	425.71735	2	46.7955	2
850.45385	426.23420	2	46.4567	2
850.50200	426.25830	2	39.3598	2
851.37020	426.69240	2	40.5622	1
851.40240	426.70850	2	35.0743	2
851.42160	426.71810	2	45.7201	2
851.43900	426.72675	2	36.8332	2
853.36075	427.68765	2	36.6569	2
853.39710	427.70580	2	42.9099	2
854.46065	428.23760	2	39.7841	2
856.43215	429.22335	2	64.4207	2
856.44865	429.23160	2	65.3401	2
856.46965	429.24210	2	50.2573	2
856.51320	429.26390	2	48.4550	2
856.51730	429.26590	2	45.8414	2
856.53965	429.27710	2	57.7343	2
857.46190	429.73825	2	42.5081	2
857.46215	429.73835	2	40.1102	2
857.49560	429.75510	2	55.0270	1
857.49600	429.75525	2	46.5102	2
857.49620	429.75540	2	54.9925	1
858.45610	430.23530	2	44.3586	2
858.46940	430.24195	2	43.6236	2
858.47010	430.24230	2	48.4147	1
858.96300	430.48880	2	37.7702	4
859.43790	430.72625	2	39.8963	2
859.46520	430.73985	2	46.9189	2
859.50220	430.75835	2	66.2584	2
860.42430	431.21940	2	35.7998	2
860.44280	431.22870	2	45.3400	1
860.46050	431.23750	2	33.3050	2
861.44470	431.72960	2	44.7037	2
861.47125	431.74290	2	47.7578	2
861.49940	431.75695	2	48.8856	2
861.50755	431.76105	2	75.5232	2
862.38620	432.20035	2	39.1272	2
863.45050	432.73255	2	34.6471	2
863.45070	432.73260	2	49.4389	2
863.45770	432.73610	2	58.8267	2
864.41970	433.21715	2	49.9272	2
864.43490	433.22475	2	53.0774	2
864.50705	433.26080	2	63.9545	2
865.41500	433.71475	2	39.6439	2
865.50100	433.75780	2	35.3078	1
866.41300	434.21380	2	40.3425	1
866.41330	434.21390	2	40.3721	1
866.49785	434.25620	2	42.4522	2
867.41625	434.71540	2	50.2038	2
867.43395	434.72425	2	39.0210	2
868.45890	435.23670	2	37.6575	2
868.51310	435.26380	2	32.2070	2
869.49695	435.75580	2	34.0722	2
869.53285	435.77370	2	59.9037	2
869.53420	435.77440	2	52.7146	2
869.55880	435.78670	2	67.0295	2
870.44895	436.23175	2	54.5990	2
870.48085	436.24770	2	43.0495	2
870.51645	436.26550	2	58.1163	2
870.55355	436.28405	2	51.1543	2
871.44400	436.72925	2	38.0786	2
871.45060	436.73260	2	40.7321	2
871.53850	436.77655	2	59.4847	2
872.47485	437.24470	2	39.5813	2
872.49660	437.25560	2	56.1090	1
872.49680	437.25565	2	42.1281	2
872.50890	437.26170	2	36.4898	1
872.50920	437.26190	2	36.4533	1
872.51495	437.26475	2	63.8336	2
873.46995	437.74225	2	45.5405	2
873.47360	437.74405	2	50.7882	2
873.48035	437.74745	2	48.6909	2
873.49575	437.75515	2	67.5053	2
874.43340	438.22395	2	44.8877	2
874.45845	438.23650	2	50.0183	2
874.46925	438.24190	2	35.4223	2
875.52290	438.76875	2	61.0689	2
875.52355	438.76905	2	50.3039	2
876.41275	439.21365	2	39.2065	2
876.43620	439.22535	2	48.1894	2
876.43880	439.22670	2	68.6110	2
876.49540	439.25495	2	67.9064	2
877.42960	439.72210	2	43.4248	1
877.45450	439.73450	2	37.0743	2
877.46605	439.74035	2	49.8435	2
877.46610	439.74035	2	45.1694	2
877.46645	439.74050	2	42.6477	2
877.47875	439.74665	2	50.4257	4
877.51005	439.76230	2	69.9972	2
877.52770	439.77110	2	69.2185	1
878.43120	440.22290	2	48.1062	1
878.48585	440.25020	2	54.7455	2
879.39735	440.70595	2	34.3539	2
879.39740	440.70600	2	41.8940	1
879.41830	440.71640	2	40.2524	1
879.48810	440.75130	2	52.1859	1
880.41250	441.21350	2	38.3297	1
880.42955	441.22205	2	43.4844	2
880.54950	441.28200	2	53.5754	2
881.41440	441.71450	2	38.7752	1
881.55810	441.78630	2	63.6537	1
882.52870	442.27165	2	39.0810	2
883.47600	442.74530	2	47.6593	1
883.53795	442.77625	2	51.3187	2
883.53830	442.77640	2	58.7718	3
883.56030	442.78740	2	38.9157	1
884.44215	443.22835	2	44.3039	2
884.54410	443.27930	2	54.3835	2
884.57040	443.29250	2	74.2130	1
884.57195	443.29325	2	59.3553	2
885.42345	443.71900	2	38.9233	2
885.43340	443.72400	2	42.3626	1
885.44480	443.72970	2	34.5939	1
885.48200	443.74825	2	43.6049	2
885.48690	443.75070	2	35.1652	2
885.49175	443.75315	2	51.6548	2
885.49180	443.75320	2	49.9245	1
885.55345	443.78400	2	65.0432	2
886.40580	444.21020	2	53.6470	1
886.48650	444.25055	2	42.5353	2
886.49120	444.25290	2	56.2457	1
886.51300	444.26380	2	48.1340	2
887.46000	444.73725	2	36.1632	2
887.47110	444.74280	2	41.1203	1
887.49160	444.75310	2	41.3211	1
889.45870	445.73665	2	51.1927	2
889.46585	445.74020	2	48.3859	2
889.47725	445.74590	2	41.3651	2
889.48400	445.74930	2	70.2844	2
891.44460	446.72960	2	49.6508	2
891.44945	446.73200	2	46.6003	2
891.48195	446.74825	2	63.0419	2
891.50625	446.76040	2	66.4945	2
892.44060	447.22760	2	40.1840	3
892.48380	447.24915	2	76.9229	2
893.45845	447.73650	2	45.9204	6
893.46110	447.73785	2	42.7097	2
893.60630	447.81040	2	75.7343	2
894.45530	448.23490	2	34.0290	1
895.44695	448.73075	2	59.8962	2
895.46565	448.74010	2	41.3748	2
896.39810	449.20630	2	32.7117	1
896.53360	449.27405	2	54.8858	2
897.40510	449.70980	2	66.8097	2
897.50290	449.75875	2	33.7164	2
898.40700	450.21080	2	66.3147	2
898.47940	450.24695	2	57.9479	2
898.48710	450.25085	2	35.1320	2
898.49060	450.25255	2	44.6778	2
898.54865	450.28160	2	67.0299	2
898.56010	450.28735	2	55.3199	2
899.43855	450.72655	2	53.8296	2
899.45045	450.73250	2	40.8121	2
899.50835	450.76150	2	56.0644	2
899.51455	450.76455	2	60.3525	2
