mono_mass	mz	charge	rt	n_psm
798.41280	400.21365	2	38.2994	2
798.48510	400.24980	2	57.3823	2
799.45520	400.73490	2	49.0136	2
799.51600	400.76530	2	38.1585	1
800.43975	401.22715	2	40.1980	2
800.45470	401.23460	2	51.0370	1
801.43560	401.72510	2	36.6802	2
801.46020	401.73740	2	44.6259	1
801.53310	401.77385	2	44.1642	2
802.38630	402.20045	2	38.7356	2
802.49800	402.25630	2	61.5752	1
802.49830	402.25640	2	61.5637	1
805.40825	403.71140	2	44.7916	2
805.44485	403.72970	2	51.1052	2
806.39555	404.20505	2	37.5642	2
806.41725	404.21590	2	71.5517	2
806.45415	404.23435	2	60.1904	2
806.49040	404.25245	2	56.4830	2
807.41285	404.71370	2	39.9057	2
808.36270	405.18865	2	36.7362	2
808.39840	405.20645	2	49.1524	2
808.44020	405.22740	2	35.7395	1
811.35445	406.68450	2	37.4049	2
811.49330	406.75390	2	49.5989	1
812.42270	407.21860	2	42.5362	1
812.43910	407.22680	2	39.9102	2
812.47545	407.24500	2	60.1531	2
812.48740	407.25100	2	37.1192	1
812.48845	407.25150	2	44.3857	2
812.51145	407.26300	2	48.7493	2
814.45440	408.23450	2	34.3947	2
814.45580	408.23520	2	51.4014	1
814.51600	408.26530	2	58.3820	1
815.43990	408.72720	2	38.6341	2
815.46860	408.74160	2	56.4353	1
815.47575	408.74515	2	41.9895	2
815.47660	408.74555	2	46.0940	2
815.49790	408.75620	2	37.7158	2
815.51145	408.76305	2	45.8432	2
816.38320	409.19890	2	51.2791	1
816.44935	409.23195	2	66.2597	2
816.45920	409.23690	2	56.7807	1
816.47110	409.24285	2	37.4856	2
817.42970	409.72215	2	34.6269	2
817.45545	409.73500	2	40.2908	2
817.48120	409.74790	2	66.6236	2
818.37770	410.19620	2	35.4876	1
818.43160	410.22310	2	43.1161	1
818.44055	410.22755	2	52.6430	2
818.49000	410.25230	2	73.6600	2
819.39175	410.70315	2	34.9904	2
819.41720	410.71590	2	39.9031	1
819.43065	410.72260	2	62.8164	2
820.43220	411.22340	2	38.9395	2
820.44370	411.22910	2	47.4593	1
820.46960	411.24210	2	45.3475	2
820.48845	411.25150	2	71.4377	2
821.42850	411.72150	2	40.5914	3
822.39120	412.20285	2	30.8948	4
822.42320	412.21890	2	42.5121	1
822.42400	412.21930	2	36.8436	2
823.41930	412.71690	2	36.2596	1
823.42615	412.72035	2	54.3786	2
824.54810	413.28135	2	70.9318	2
826.49045	414.25250	2	39.5817	2
826.49120	414.25290	2	42.0587	2
826.52705	414.27080	2	49.5296	2
826.52740	414.27100	2	69.4811	2
827.48630	414.75040	2	48.5604	1
827.49835	414.75645	2	37.1388	2
828.41655	415.21555	2	31.4290	2
828.47735	415.24595	2	38.6842	2
829.44800	415.73125	2	40.0130	2
829.46530	415.73995	2	34.5900	2
829.49115	415.75290	2	55.5419	2
829.49190	415.75320	2	39.3156	1
829.50230	415.75840	2	36.4744	2
830.45070	416.23260	2	40.2435	1
831.47000	416.74230	2	35.2123	1
831.49680	416.75570	2	61.7344	2
831.49695	416.75575	2	69.5910	2
832.39235	417.20345	2	34.4291	2
832.42855	417.22155	2	44.9671	2
834.43490	418.22475	2	37.8365	2
835.41230	418.71340	2	46.6684	1
835.44500	418.72980	2	43.1357	1
836.38880	419.20165	2	40.3187	2
836.44025	419.22740	2	56.4236	2
836.44070	419.22760	2	43.3483	2
837.40265	419.70860	2	47.8404	2
837.40595	419.71025	2	54.1437	2
837.42240	419.71850	2	42.2441	1
838.41835	420.21645	2	37.4572	2
839.42960	420.72210	2	54.8448	1
839.58455	420.79960	2	72.9457	2
840.47055	421.24260	2	42.8887	2
840.54280	421.27865	2	59.4159	2
840.54345	421.27900	2	74.6885	2
841.46600	421.74025	2	40.8436	2
841.49150	421.75300	2	54.6472	1
842.42860	422.22160	2	47.6881	2
842.48455	422.24955	2	52.0307	2
842.48610	422.25035	2	42.1393	2
842.48740	422.25100	2	38.5249	2
842.52240	422.26850	2	70.7171	2
842.52310	422.26880	2	49.0375	1
842.53305	422.27380	2	34.3947	2
843.44800	422.73130	2	39.3206	1
843.48095	422.74775	2	44.4602	2
843.54250	422.77850	2	62.9773	2
844.45475	423.23465	2	53.6857	2
844.46515	423.23985	2	35.2949	2
845.45085	423.73270	2	38.1996	2
845.46115	423.73785	2	37.5115	2
845.46145	423.73800	2	44.0151	2
845.46475	423.73965	2	67.0650	2
845.48680	423.75070	2	52.5167	1
845.51265	423.76360	2	64.9295	2
845.53720	423.77590	2	75.9953	2
846.39865	424.20660	2	37.0012	2
846.42735	424.22100	2	42.7598	2
846.43760	424.22610	2	48.6798	1
846.44850	424.23150	2	60.9306	2
847.42240	424.71850	2	43.6385	1
847.44470	424.72960	2	40.7336	2
847.48065	424.74760	2	45.3538	2
848.43955	425.22705	2	41.7957	2
848.43980	425.22720	2	53.0698	2
848.44480	425.22970	2	36.6725	2
849.43535	425.72495	2	53.5775	2
849.44180	425.72820	2	52.4982	1
850.42780	426.22120	2	53.9485	1
850.45345	426.23405	2	46.1997	2
850.50215	426.25835	2	39.4158	2
851.37010	426.69230	2	40.6369	1
851.40260	426.70855	2	35.5181	2
851.42125	426.71790	2	45.4058	2
851.43875	426.72665	2	37.1966	2
853.36115	427.68790	2	36.8826	2
854.43930	428.22690	2	56.6569	1
854.46050	428.23755	2	39.9948	2
856.44070	429.22760	2	64.7233	4
856.46985	429.24220	2	50.0460	2
856.51330	429.26395	2	48.3352	2
856.51520	429.26485	2	45.5009	2
856.53935	429.27695	2	57.5691	2
857.46145	429.73800	2	40.2296	2
857.46290	429.73870	2	42.4371	2
857.49535	429.75495	2	46.2531	2
857.49685	429.75570	2	54.8524	2
858.45615	430.23540	2	44.1684	2
858.46125	430.23795	2	37.8629	2
858.47045	430.24250	2	43.5370	2
858.48035	430.24745	2	32.9988	2
859.46050	430.73750	2	38.1149	2
859.46560	430.74010	2	46.7388	3
860.42395	431.21930	2	36.2993	2
860.44220	431.22840	2	45.0556	2
860.46035	431.23745	2	33.6684	2
861.44380	431.72915	2	44.5812	2
861.47110	431.74280	2	47.5109	1
861.50020	431.75740	2	48.6748	1
861.50740	431.76100	2	75.2475	2
862.38580	432.20020	2	39.2208	2
863.45065	432.73260	2	35.0640	2
863.45125	432.73290	2	49.2296	2
863.45700	432.73575	2	58.6574	2
863.47530	432.74490	2	45.9261	2
864.41960	433.21710	2	49.6366	2
864.50705	433.26080	2	63.7618	2
865.41565	433.71510	2	39.7254	2
865.45270	433.73360	2	40.3378	1
866.49740	434.25595	2	42.1960	2
867.39400	434.70430	2	37.5598	1
867.41665	434.71560	2	49.9909	2
867.43440	434.72450	2	39.2115	1
868.45870	435.23660	2	37.8002	2
868.50035	435.25745	2	44.4154	2
868.51275	435.26365	2	32.4098	2
869.49675	435.75565	2	34.4845	2
869.53290	435.77375	2	59.7896	2
869.53325	435.77390	2	52.4716	2
869.55910	435.78680	2	66.7875	2
870.43710	436.22580	2	33.7829	1
870.44905	436.23180	2	54.3699	2
870.48145	436.24800	2	42.8508	2
870.51770	436.26615	2	57.9521	2
870.55350	436.28400	2	50.7097	2
871.44425	436.72940	2	38.5097	2
871.45070	436.73260	2	40.8215	2
871.53910	436.77680	2	59.3305	2
872.47305	437.24380	2	39.6702	2
872.49685	437.25570	2	42.1080	2
872.51540	437.26500	2	63.6496	2
873.46400	437.73930	2	45.8030	2
873.47360	437.74405	2	50.5237	2
873.48045	437.74750	2	48.4839	2
873.48250	437.74850	2	45.9747	1
873.49605	437.75530	2	67.3552	2
874.43280	438.22365	2	44.6662	2
874.44210	438.22830	2	34.9592	1
874.45895	438.23675	2	49.8140	2
874.46690	438.24070	2	42.8005	2
874.46940	438.24200	2	35.7374	2
874.47780	438.24620	2	36.8445	1
875.49060	438.75260	2	29.9126	1
875.52280	438.76870	2	49.9412	2
875.52290	438.76875	2	60.9232	2
876.41305	439.21380	2	39.3678	2
876.47100	439.24280	2	50.1787	3
876.47875	439.24665	2	53.9078	2
876.49570	439.25510	2	67.7452	2
877.42940	439.72200	2	43.3476	1
877.45430	439.73450	2	65.2392	1
877.45440	439.73450	2	37.4205	2
877.46590	439.74020	2	45.0950	1
877.46740	439.74100	2	42.5966	1
877.46745	439.74100	2	49.6086	2
877.50975	439.76215	2	69.8017	2
878.43250	440.22350	2	47.9147	1
878.43290	440.22370	2	47.8881	1
878.48595	440.25025	2	54.5133	2
878.48660	440.25060	2	71.3064	2
879.39740	440.70595	2	34.7564	2
880.41370	441.21410	2	38.8084	1
880.41470	441.21460	2	38.7906	1
880.42985	441.22220	2	43.4178	2
880.54980	441.28220	2	53.3577	1
881.51590	441.76520	2	55.1138	1
882.52870	442.27165	2	39.1620	2
883.47675	442.74565	2	47.4137	2
883.51210	442.76330	2	39.6219	1
883.53790	442.77620	2	58.6365	3
883.53860	442.77660	2	51.0856	1
883.55985	442.78720	2	38.9162	2
884.44060	443.22755	2	44.1016	2
884.54375	443.27915	2	54.1061	2
884.57280	443.29370	2	59.1236	2
885.42340	443.71900	2	39.1226	1
885.42350	443.71900	2	51.3436	1
885.43640	443.72550	2	42.3760	1
885.44480	443.72970	2	35.0885	2
885.48930	443.75190	2	35.5880	1
885.49240	443.75345	2	49.8119	2
885.55385	443.78420	2	64.8192	2
886.48645	444.25050	2	42.4913	2
886.48760	444.25110	2	55.7290	1
886.49060	444.25255	2	56.1168	2
886.51295	444.26375	2	47.7573	2
886.52330	444.26890	2	45.2076	2
887.46035	444.73745	2	36.5308	2
887.48645	444.75050	2	55.2380	2
887.49110	444.75285	2	41.3402	2
888.44900	445.23180	2	60.2581	1
889.45885	445.73670	2	50.9547	2
889.46605	445.74030	2	48.2061	2
889.47725	445.74590	2	41.3954	2
889.48495	445.74975	2	69.9779	2
890.50435	446.25950	2	44.5295	2
891.44515	446.72985	2	49.4615	2
891.44835	446.73145	2	46.1995	2
891.48165	446.74810	2	62.9471	2
891.50650	446.76050	2	66.3056	2
892.44040	447.22745	2	40.2907	2
892.48375	447.24915	2	76.7250	2
893.44940	447.73200	2	43.2824	1
893.45930	447.73690	2	45.8051	6
893.50750	447.76100	2	37.5933	2
893.60635	447.81045	2	75.4826	2
894.45550	448.23505	2	34.4726	2
894.46295	448.23875	2	41.3795	4
895.44735	448.73095	2	59.7285	2
895.48060	448.74760	2	76.5255	2
896.53360	449.27410	2	54.6778	2
897.40545	449.71000	2	66.6285	2
897.50315	449.75885	2	33.8421	2
898.40730	450.21095	2	66.2847	2
898.42190	450.21820	2	42.2717	1
898.48735	450.25095	2	35.5255	2
898.49055	450.25255	2	44.3483	2
898.54880	450.28170	2	66.8981	2
898.56065	450.28760	2	55.0868	2
899.43730	450.72590	2	53.6433	3
899.45045	450.73250	2	40.8749	2
899.50760	450.76110	2	55.9502	1
899.51540	450.76500	2	60.1854	2
900.46210	451.23830	2	41.3913	3
900.49200	451.25330	2	41.3033	1
900.49230	451.25340	2	52.7386	1
900.50215	451.25835	2	50.7386	2
900.53905	451.27680	2	43.9083	2
901.41225	451.71340	2	49.2230	2
901.43320	451.72390	2	39.4753	2
901.47580	451.74515	2	58.5163	2
901.48635	451.75045	2	33.9896	2
901.48720	451.75090	2	46.5891	2
901.52415	451.76935	2	42.5510	2
901.52780	451.77120	2	75.1208	1
902.41285	452.21370	2	47.8605	2
902.50820	452.26140	2	46.1145	1
903.48090	452.74775	2	53.0555	2
903.50990	452.76220	2	65.4215	2
903.52890	452.77175	2	42.1200	2
903.54315	452.77885	2	68.9110	2
904.42580	453.22020	2	32.2748	1
904.53810	453.27630	2	63.1420	1
905.45270	453.73360	2	43.9714	2
905.45355	453.73405	2	65.6780	2
905.46060	453.73760	2	32.7205	1
906.46790	454.24125	2	32.4174	2
906.51790	454.26625	2	48.1181	2
907.45205	454.73330	2	37.4855	2
907.49945	454.75700	2	48.5800	2
907.50130	454.75790	2	54.8984	3
908.50850	455.26150	2	54.7863	1
908.53365	455.27410	2	40.4943	2
908.56980	455.29220	2	56.9606	2
909.42695	455.72075	2	55.2960	2
909.45750	455.73600	2	40.1824	2
909.48135	455.74795	2	54.2331	2
909.50490	455.75975	2	36.2527	2
911.38045	456.69755	2	34.2684	2
911.47590	456.74525	2	60.6268	2
911.48840	456.75150	2	43.0193	1
911.58105	456.79780	2	57.9915	2
912.54765	457.28110	2	42.3522	2
912.56455	457.28955	2	64.2744	2
913.42950	457.72200	2	48.7051	1
913.44800	457.73125	2	41.6802	2
913.47315	457.74385	2	71.2386	2
913.48840	457.75145	2	47.3200	2
913.50940	457.76195	2	33.2681	2
913.54725	457.78090	2	53.7221	2
913.55915	457.78685	2	39.1901	2
913.59650	457.80555	2	40.3672	2
914.50725	458.26090	2	41.0455	2
914.51855	458.26655	2	46.0893	2
915.44860	458.73155	2	37.2016	2
915.46650	458.74055	2	42.6432	2
915.47050	458.74250	2	36.6942	1
915.50470	458.75960	2	32.7318	2
915.53865	458.77660	2	35.3721	2
916.48610	459.25035	2	41.4292	2
916.49770	459.25610	2	37.9184	2
917.44450	459.72950	2	39.7075	1
917.46630	459.74040	2	34.8543	3
917.48140	459.74795	2	38.5723	2
917.51835	459.76645	2	40.1568	2
918.44870	460.23165	2	80.0162	2
918.48465	460.24960	2	53.4816	2
918.49200	460.25330	2	64.1936	2
918.49270	460.25360	2	50.4761	2
918.51755	460.26605	2	63.0322	2
918.51795	460.26625	2	56.9323	2
919.40675	460.71065	2	33.3505	2
919.40750	460.71100	2	61.5251	1
919.44315	460.72885	2	47.6216	2
919.51200	460.76330	2	52.5854	2
919.51225	460.76340	2	43.8357	2
919.51260	460.76360	2	46.8072	2
919.51540	460.76495	2	57.2945	2
919.52270	460.76860	2	64.6539	2
920.49790	461.25625	2	46.9197	2
920.50690	461.26075	2	41.5705	2
921.44525	461.72990	2	40.8285	2
921.45620	461.73540	2	40.6446	2
921.46680	461.74070	2	35.9376	1
921.94795	461.98125	2	38.1825	4
922.43940	462.22700	2	49.7607	2
923.43470	462.72465	2	43.9174	2
923.47295	462.74375	2	40.9796	2
923.49510	462.75485	2	50.5852	2
923.58055	462.79755	2	77.9221	2
924.43750	463.22600	2	48.1780	2
924.53925	463.27690	2	52.5677	2
924.56450	463.28955	2	55.2479	2
925.46950	463.74200	2	79.3574	1
925.49785	463.75625	2	43.6606	2
926.51850	464.26650	2	39.2391	2
