mono_mass	mz	charge	rt	n_psm
798.41280	400.21370	2	39.4875	1
798.46060	400.23760	2	44.6943	1
798.48460	400.24960	2	58.7418	2
798.49050	400.25250	2	34.0353	1
799.45515	400.73485	2	50.1839	2
800.43920	401.22690	2	44.9330	2
800.43985	401.22720	2	41.4333	2
800.45480	401.23470	2	52.2141	2
801.43555	401.72505	2	37.9097	2
801.45950	401.73700	2	45.9087	1
801.53255	401.77355	2	46.0031	2
802.38635	402.20045	2	39.9795	2
802.42470	402.21960	2	35.6414	1
802.49850	402.25655	2	62.8662	2
805.44575	403.73015	2	52.5042	2
806.39635	404.20545	2	38.7866	2
806.45345	404.23400	2	51.2343	2
806.45370	404.23410	2	61.4334	2
807.41345	404.71400	2	41.1809	2
808.36270	405.18860	2	38.0560	2
808.39920	405.20690	2	31.2996	1
808.43830	405.22640	2	37.5874	1
811.35545	406.68500	2	38.7019	2
811.49125	406.75290	2	50.5206	2
812.42280	407.21865	2	43.8899	2
812.43975	407.22715	2	41.1733	2
812.44380	407.22920	2	56.3300	1
812.47550	407.24500	2	61.0069	1
812.48720	407.25085	2	45.7798	2
812.48740	407.25100	2	38.5507	1
812.51180	407.26320	2	50.0725	2
814.45475	408.23465	2	35.8610	2
814.45610	408.23535	2	52.6173	2
814.51655	408.26555	2	59.7543	2
815.43895	408.72675	2	39.9269	2
815.46980	408.74220	2	57.7505	1
815.47620	408.74540	2	43.4216	3
815.47675	408.74565	2	47.4984	2
815.49720	408.75590	2	39.2323	2
815.51095	408.76275	2	47.3185	2
816.44960	409.23210	2	67.5056	1
816.47070	409.24260	2	38.7568	2
817.43005	409.72230	2	35.9406	2
817.48140	409.74800	2	67.9495	2
818.44010	410.22730	2	53.6667	2
818.48995	410.25225	2	74.9858	2
819.39155	410.70305	2	36.4052	2
819.43100	410.72275	2	64.0895	2
820.43410	411.22430	2	40.0476	1
820.45540	411.23500	2	34.3164	1
820.46870	411.24165	2	46.6475	2
820.48835	411.25145	2	72.7014	2
821.39510	411.70480	2	29.0821	1
821.42740	411.72100	2	41.9179	1
821.44640	411.73050	2	34.8649	2
822.39110	412.20285	2	32.4215	4
822.42400	412.21925	2	38.2341	2
823.42665	412.72060	2	55.7764	2
823.44420	412.72940	2	46.1466	1
824.43320	413.22390	2	29.4715	1
824.54855	413.28155	2	72.1876	2
826.43680	414.22570	2	42.6490	1
826.45480	414.23470	2	49.0942	1
826.49170	414.25310	2	43.3992	2
826.52745	414.27100	2	70.6229	2
826.52790	414.27125	2	50.7570	2
827.48630	414.75040	2	49.7917	1
828.41760	415.21605	2	32.0944	2
