mono_mass	mz	charge	rt	n_psm
798.41225	400.21345	2	38.0510	2
798.46100	400.23780	2	43.3434	2
798.48515	400.24985	2	57.4069	2
799.45490	400.73475	2	49.1085	2
800.43920	401.22690	2	41.1454	4
800.45590	401.23520	2	51.0878	2
801.43530	401.72495	2	36.3381	2
801.53335	401.77395	2	44.2987	2
802.38630	402.20040	2	38.4341	2
802.49810	402.25635	2	61.5111	2
805.40750	403.71100	2	44.8932	2
805.44490	403.72970	2	51.1686	2
806.39595	404.20525	2	37.2441	2
806.45400	404.23430	2	60.1692	2
806.45565	404.23510	2	50.4317	2
807.41255	404.71355	2	39.6560	2
808.36255	405.18855	2	36.3706	2
808.39755	405.20605	2	49.2925	2
808.44060	405.22760	2	35.4958	1
809.41865	405.71660	2	62.2263	2
810.36960	406.19210	2	47.1332	2
811.35430	406.68445	2	37.2274	2
811.49130	406.75295	2	49.6121	2
812.42230	407.21845	2	42.4871	2
812.43905	407.22680	2	39.7582	2
812.47460	407.24460	2	60.1221	1
812.48735	407.25095	2	44.4506	2
812.51190	407.26325	2	48.8776	2
814.45435	408.23445	2	33.9319	2
814.45545	408.23500	2	51.5244	2
814.51625	408.26540	2	58.4291	2
815.44340	408.72895	2	38.3494	2
815.46875	408.74165	2	56.4819	2
815.47540	408.74495	2	41.8840	2
815.47655	408.74555	2	46.2210	2
815.49745	408.75600	2	37.5506	2
815.51260	408.76360	2	46.0398	1
816.38390	409.19925	2	51.3192	2
816.40980	409.21220	2	32.6619	1
816.44905	409.23180	2	66.2055	2
816.47080	409.24270	2	37.2445	1
817.42860	409.72155	2	34.1490	2
817.48115	409.74785	2	66.6006	2
818.43210	410.22330	2	43.1424	1
818.44015	410.22735	2	52.7008	2
818.49040	410.25245	2	73.5774	2
819.41720	410.71590	2	39.6984	1
819.43105	410.72280	2	62.8162	2
820.43210	411.22335	2	38.6368	2
820.44360	411.22910	2	48.3812	1
820.46985	411.24220	2	45.4473	2
820.48805	411.25130	2	71.3230	2
822.39170	412.20310	2	29.6375	3
822.42355	412.21905	2	36.4855	2
822.42395	412.21925	2	42.4797	2
823.41895	412.71680	2	35.9236	2
823.42620	412.72040	2	54.4632	2
824.54885	413.28175	2	70.8549	2
826.36445	414.18950	2	35.3344	2
826.49075	414.25265	2	39.4373	2
826.49130	414.25295	2	41.9884	2
826.52710	414.27080	2	69.4036	2
826.52750	414.27105	2	49.6381	2
827.48720	414.75090	2	48.6356	1
828.41570	415.21510	2	31.1616	2
828.44920	415.23190	2	59.0907	2
829.44785	415.73120	2	39.7737	4
829.46550	415.74000	2	41.4938	2
829.46555	415.74005	2	34.1539	2
829.49100	415.75275	2	55.5679	2
829.49140	415.75300	2	39.2167	2
829.50255	415.75855	2	36.2529	2
829.50330	415.75890	2	50.4571	2
831.47005	416.74230	2	48.4540	2
831.49650	416.75550	2	61.7283	1
831.49650	416.75550	2	69.5440	2
832.39340	417.20400	2	33.9983	2
832.42870	417.22165	2	44.9858	2
834.43570	418.22510	2	37.7768	1
835.44420	418.72940	2	43.1272	3
836.38915	419.20185	2	40.1518	2
836.40275	419.20865	2	41.0090	2
836.44010	419.22730	2	56.4435	2
836.44170	419.22810	2	43.3254	1
837.40255	419.70855	2	47.9840	2
837.40560	419.71005	2	54.2305	2
838.39745	420.20600	2	58.1523	2
838.41820	420.21640	2	37.2785	2
839.42955	420.72205	2	54.8895	2
839.58435	420.79945	2	72.8591	2
840.47025	421.24240	2	42.8262	2
840.54275	421.27865	2	74.5602	2
840.54310	421.27885	2	59.4512	2
841.46580	421.74020	2	40.6673	3
841.49140	421.75295	2	54.6599	2
841.50260	421.75860	2	50.3983	2
842.42820	422.22140	2	47.7509	2
842.46105	422.23780	2	39.4691	2
842.48455	422.24955	2	51.9900	2
842.48665	422.25060	2	38.1713	2
842.48725	422.25090	2	42.1983	2
842.52210	422.26830	2	49.0929	2
842.52240	422.26845	2	70.6379	2
842.53300	422.27375	2	34.0258	2
843.45030	422.73240	2	39.0204	1
843.48175	422.74815	2	44.5312	2
843.54310	422.77885	2	62.9530	2
844.45505	423.23480	2	53.7782	2
844.46465	423.23960	2	34.9406	2
845.46070	423.73760	2	37.1902	2
845.46095	423.73775	2	44.0455	2
845.46525	423.73990	2	67.0077	2
845.51250	423.76355	2	64.9145	2
845.53705	423.77580	2	75.8998	2
846.39815	424.20635	2	36.7462	2
846.42755	424.22110	2	42.6736	2
846.44835	424.23150	2	60.8991	2
847.41060	424.71260	2	33.9501	1
847.42170	424.71820	2	43.6985	2
847.48030	424.74745	2	45.4195	2
848.43915	425.22685	2	41.7644	2
848.43975	425.22715	2	53.0302	2
848.44395	425.22925	2	36.3057	2
849.42040	425.71745	2	46.6762	2
849.43480	425.72470	2	53.5979	1
850.35580	426.18520	2	37.6613	1
850.45470	426.23460	2	46.3701	2
850.50225	426.25845	2	39.2956	2
851.40275	426.70865	2	35.0791	2
851.42150	426.71800	2	45.5775	1
851.43895	426.72675	2	36.8207	2
853.36075	427.68765	2	36.6244	2
854.46040	428.23750	2	39.7582	2
856.43215	429.22335	2	64.2363	2
856.47000	429.24230	2	50.5437	2
856.51280	429.26370	2	48.3357	2
856.51910	429.26685	2	45.6631	2
856.53980	429.27715	2	57.5723	2
857.46125	429.73790	2	40.0334	2
857.46165	429.73810	2	42.4239	2
857.49585	429.75520	2	46.3993	2
857.49715	429.75585	2	54.8766	2
858.45730	430.23595	2	44.1914	2
858.46930	430.24195	2	43.4896	2
858.96080	430.48765	2	37.7575	4
859.43850	430.72650	2	39.8107	1
859.46600	430.74030	2	46.8129	2
860.42415	431.21935	2	35.8592	2
860.44290	431.22870	2	45.1665	2
860.46050	431.23750	2	33.2247	1
861.44485	431.72970	2	44.5358	2
861.47080	431.74265	2	60.2760	2
861.47115	431.74285	2	47.5685	2
861.50725	431.76090	2	75.1616	2
863.45050	432.73255	2	34.6598	2
863.45090	432.73270	2	49.3159	2
863.45620	432.73540	2	58.6207	1
864.41900	433.21680	2	49.7608	1
864.43480	433.22470	2	52.9005	2
864.47010	433.24230	2	56.4397	1
