mono_mass	mz	charge	rt	intensity	detection
782.43272	392.22364	2	37.0043		PSM
783.39152	392.70304	2	44.6368		PSM
783.41672	392.71564	2	45.7333		PSM
783.44902	392.73179	2	23.0271		PSM
783.48542	392.74999	2	21.3188		PSM
783.48542	392.74999	2	35.0462		PSM
784.38272	393.19864	2	18.2281		PSM
784.44432	393.22944	2	18.7566		PSM
784.48072	393.24764	2	29.3325		PSM
784.50582	393.26019	2	51.9251		PSM
785.38942	393.70199	2	48.3552		PSM
785.42182	393.71819	2	28.0363		PSM
785.42832	393.72144	2	17.2677		PSM
785.43952	393.72704	2	28.1090		PSM
785.45482	393.73469	2	26.8720		PSM
785.46472	393.73964	2	46.2699		PSM
786.41362	394.21409	2	19.1141		PSM
786.45992	394.23724	2	27.5562		PSM
787.37122	394.69289	2	19.9767		PSM
787.45922	394.73689	2	39.0683		PSM
787.47042	394.74249	2	34.7616		PSM
788.39162	395.20309	2	19.2522		PSM
788.40282	395.20869	2	18.2510		PSM
788.40282	395.20869	2	25.9854		PSM
788.43922	395.22689	2	19.5220		PSM
788.44322	395.22889	2	43.1439		PSM
788.44662	395.23059	2	46.0360		PSM
788.46432	395.23944	2	32.8213		PSM
788.48302	395.24879	2	54.8436		PSM
788.51602	395.26529	2	64.2353		PSM
789.38682	395.70069	2	19.6058		PSM
789.40552	395.71004	2	37.4530		PSM
789.43852	395.72654	2	41.4653		PSM
790.39732	396.20594	2	23.8977		PSM
790.40722	396.21089	2	18.8438		PSM
790.43712	396.22584	2	17.9717		PSM
790.47012	396.24234	2	37.4530		PSM
791.34502	396.67979	2	20.1026		PSM
791.34502	396.67979	2	25.7910		PSM
791.45412	396.73434	2	26.5881		PSM
791.45412	396.73434	2	31.4228		PSM
792.37662	397.19559	2	26.5881		PSM
792.38652	397.20054	2	18.6902		PSM
792.40172	397.20814	2	35.7052		PSM
792.41302	397.21379	2	24.2763		PSM
792.43812	397.22634	2	45.8982		PSM
792.44942	397.23199	2	22.1212		PSM
793.37922	397.69689	2	21.6612		PSM
794.34462	398.17959	2	18.9064		PSM
794.40352	398.20904	2	17.9180		PSM
794.41092	398.21274	2	40.5972		PSM
794.43992	398.22724	2	19.7576		PSM
794.46502	398.23979	2	30.0589		PSM
794.47622	398.24539	2	32.3762		PSM
795.36502	398.68979	2	19.4992		PSM
795.39492	398.70474	2	26.0085		PSM
795.42792	398.72124	2	44.3389		PSM
796.39012	399.20234	2	20.3044		PSM
796.45552	399.23504	2	21.3396		PSM
796.45552	399.23504	2	21.7124		PSM
797.32652	399.67054	2	28.5966		PSM
797.40722	399.71089	2	35.9109		PSM
797.44362	399.72909	2	45.2624		PSM
797.49122	399.75289	2	45.2624		PSM
798.45002	400.23229	2	23.0918		PSM
799.37522	400.69489	2	45.3707		PSM
799.41882	400.71669	2	21.1702		PSM
799.43402	400.72429	2	41.7626		PSM
799.45522	400.73489	2	27.0354		PSM
799.45522	400.73489	2	28.1582		PSM
799.45522	400.73489	2	28.7056		PSM
799.45922	400.73689	2	40.3479		PSM
799.49162	400.75309	2	46.4874		PSM
799.51672	400.76564	2	42.8109		PSM
799.52792	400.77124	2	37.1076		PSM
800.41402	401.21429	2	18.2497		PSM
800.46432	401.23944	2	49.2138		PSM
800.47562	401.24509	2	28.8114		PSM
801.38432	401.69944	2	35.2522		PSM
801.41672	401.71564	2	22.8031		PSM
801.42322	401.71889	2	34.8274		PSM
801.43442	401.72449	2	20.9640		PSM
801.45962	401.73709	2	29.1478		PSM
802.41852	402.21654	2	25.6050		PSM
802.50652	402.26054	2	55.6473		PSM
803.40252	402.70854	2	19.0720		PSM
803.42902	402.72179	2	22.5533		PSM
803.43892	402.72674	2	24.7130		PSM
803.45012	402.73234	2	17.7257		PSM
803.46532	402.73994	2	39.5464		PSM
803.46532	402.73994	2	42.0380		PSM
803.46942	402.74199	2	49.6096		PSM
804.34022	403.17739	2	30.3112		PSM
804.42422	403.21939	2	33.3002		PSM
804.49702	403.25579	2	29.7655		PSM
805.39702	403.70579	2	24.0170		PSM
805.40822	403.71139	2	36.6290		PSM
805.41812	403.71634	2	17.7812		PSM
805.43342	403.72399	2	35.6730		PSM
806.42862	404.22159	2	28.4710		PSM
806.47242	404.24349	2	55.6106		PSM
807.33992	404.67724	2	19.2970		PSM
807.44902	404.73179	2	29.1997		PSM
807.46432	404.73944	2	55.0410		PSM
808.40792	405.21124	2	18.3739		PSM
808.40792	405.21124	2	21.2552		PSM
808.40792	405.21124	2	26.8963		PSM
808.42322	405.21889	2	54.5586		PSM
808.44432	405.22944	2	39.8306		PSM
809.38202	405.69829	2	31.1481		PSM
809.38602	405.70029	2	49.8848		PSM
809.43952	405.72704	2	17.2759		PSM
810.35482	406.18469	2	27.8758		PSM
810.38722	406.20089	2	24.7646		PSM
810.40582	406.21019	2	28.7068		PSM
810.42352	406.21904	2	16.5048		PSM
810.42352	406.21904	2	22.5202		PSM
811.44802	406.73129	2	47.7854		PSM
811.48032	406.74744	2	40.7343		PSM
811.51672	406.76564	2	42.9149		PSM
811.52792	406.77124	2	51.8383		PSM
812.40682	407.21069	2	40.2705		PSM
812.51202	407.26329	2	43.8173		PSM
813.32142	407.66799	2	20.7180		PSM
813.40212	407.70834	2	31.1322		PSM
813.45962	407.73709	2	27.9983		PSM
813.49602	407.75529	2	34.1337		PSM
814.34972	408.18214	2	38.2666		PSM
814.39732	408.20594	2	17.1350		PSM
814.45482	408.23469	2	21.5377		PSM
814.45482	408.23469	2	38.9669		PSM
814.48002	408.24729	2	38.0673		PSM
814.49122	408.25289	2	34.9759		PSM
814.50652	408.26054	2	57.0352		PSM
815.40002	408.70729	2	38.9669		PSM
815.41372	408.71414	2	18.1722		PSM
815.42902	408.72179	2	34.1397		PSM
815.45012	408.73234	2	23.4354		PSM
815.45012	408.73234	2	26.9980		PSM
815.45012	408.73234	2	29.0386		PSM
815.45012	408.73234	2	30.4210		PSM
815.47522	408.74489	2	31.6872		PSM
815.47522	408.74489	2	39.5905		PSM
815.49052	408.75254	2	23.3214		PSM
815.50172	408.75814	2	31.0693		PSM
815.51162	408.76309	2	43.9724		PSM
816.39772	409.20614	2	21.7725		PSM
816.42422	409.21939	2	25.7681		PSM
816.45932	409.23694	2	33.0832		PSM
817.37182	409.69319	2	34.3440		PSM
817.41812	409.71634	2	22.6989		PSM
817.41812	409.71634	2	23.6942		PSM
817.43342	818.44070	1	36.1089		PSM
817.43342	409.72399	2	36.7350		PSM
817.45452	409.73454	2	21.1008		PSM
817.45452	409.73454	2	21.9268		PSM
818.35592	410.18524	2	36.5459		PSM
818.37702	410.19579	2	20.6337		PSM
818.40682	410.21069	2	20.6156		PSM
818.41342	410.21399	2	24.8773		PSM
818.41742	410.21599	2	34.3938		PSM
819.42392	410.71924	2	30.5063		PSM
819.47022	410.74239	2	22.3851		PSM
820.35632	411.18544	2	17.1826		PSM
820.41912	411.21684	2	35.1844		PSM
820.44432	411.22944	2	24.7499		PSM
820.45422	411.23439	2	17.0549		PSM
820.50582	411.26019	2	50.9876		PSM
821.39192	411.70324	2	26.3788		PSM
821.42832	411.72144	2	21.4543		PSM
822.35082	412.18269	2	22.5866		PSM
822.40242	412.20849	2	41.5555		PSM
822.41232	412.21344	2	34.3912		PSM
822.44872	412.23164	2	31.9856		PSM
822.44872	412.23164	2	35.9903		PSM
822.46732	412.24094	2	47.7214		PSM
823.40102	412.70779	2	28.4749		PSM
823.45922	412.73689	2	58.9449		PSM
823.48032	412.74744	2	36.6488		PSM
823.49162	412.75309	2	20.3392		PSM
824.39162	413.20309	2	21.9660		PSM
824.47562	413.24509	2	20.6119		PSM
824.47962	413.24709	2	50.8864		PSM
825.54362	413.77909	2	53.2880		PSM
826.38742	414.20099	2	18.0118		PSM
826.42252	414.21854	2	33.7856		PSM
826.45482	414.23469	2	26.7936		PSM
826.50252	414.25854	2	21.6380		PSM
826.53502	414.27479	2	63.1405		PSM
827.38472	414.69964	2	25.9127		PSM
827.41772	414.71614	2	33.0129		PSM
827.46532	414.73994	2	19.8828		PSM
827.49052	414.75254	2	46.0679		PSM
827.51162	414.76309	2	50.4492		PSM
828.43412	415.22434	2	21.4662		PSM
828.44942	415.23199	2	29.4015		PSM
828.47052	415.24254	2	27.6735		PSM
828.49562	415.25509	2	44.0400		PSM
829.49092	415.75274	2	38.4659		PSM
829.52732	415.77094	2	29.5188		PSM
830.48612	416.25034	2	41.8845		PSM
830.48752	416.25104	2	19.8646		PSM
830.49022	416.25239	2	53.3188		PSM
830.49352	416.25404	2	50.2261		PSM
831.39742	416.70599	2	19.6231		PSM
831.43382	416.72419	2	23.4209		PSM
831.47022	416.74239	2	29.3184		PSM
832.38142	417.19799	2	20.9150		PSM
