Refined Monoisotopic Mass	Charge	Apex RT	Summed Intensity	Decon Score	Num Candidate Masses	Detector Mono Mass
1343.75908	3	53.7706	1.4395e10	9.9757e-1	1	1343.75908
3091.63966	4	125.8350	1.3859e10	9.9571e-1	1	3091.63966
830.48722	2	52.3022	1.3854e10	9.9407e-1	1	1660.97443
1336.62021	2	62.7848	1.3717e10	9.9675e-1	1	1336.62021
1786.98360	3	80.9248	1.3680e10	9.9838e-1	1	3573.96721
1823.98423	2	96.3503	1.3630e10	9.9863e-1	1	1823.98423
1136.54123	2	56.9770	1.3593e10	9.9854e-1	1	1136.54123
839.52378	2	48.3717	1.3532e10	9.9121e-1	1	1679.04755
1140.60678	2	79.0083	1.3439e10	9.9855e-1	1	1140.60678
2376.16262	3	79.8537	1.3427e10	9.9520e-1	1	2376.16262
1291.65390	2	46.9912	1.3390e10	9.9770e-1	1	1291.65390
1418.74595	2	124.6912	1.3275e10	9.9670e-1	1	1418.74595
1014.57480	2	65.8829	1.3218e10	9.8940e-1	1	1014.57480
1667.84189	2	74.6292	1.3156e10	9.9409e-1	1	1667.84189
2154.06374	3	101.0229	1.3138e10	9.9690e-1	1	2154.06374
1040.59970	2	60.0270	1.3044e10	9.8736e-1	1	1040.59970
1143.61789	2	82.2994	1.2975e10	9.9868e-1	1	1143.61789
1253.56357	2	64.8997	1.2782e10	9.9738e-1	1	1253.56357
1465.80437	3	94.2859	1.2746e10	9.9523e-1	1	1465.80437
1835.79673	2	36.2998	1.2682e10	9.9708e-1	1	1835.79673
1823.93825	3	58.5133	1.2646e10	9.9633e-1	1	1823.93825
1515.69822	2	34.9767	1.2612e10	9.9498e-1	1	1515.69822
1403.72226	2	64.0116	1.2548e10	9.9564e-1	1	1403.72226
1642.93503	2	130.0742	1.2533e10	9.9323e-1	1	1642.93503
1313.73301	2	75.6462	1.2462e10	9.9737e-1	1	1313.73301
1405.71177	2	92.0418	1.2405e10	9.9543e-1	1	1405.71177
1248.61216	2	41.2720	1.2373e10	9.9763e-1	1	1248.61216
1677.84920	3	62.3947	1.2268e10	9.8760e-1	1	1677.84920
1498.67234	2	54.2787	1.2113e10	9.9460e-1	1	1498.67234
1329.64467	3	55.6737	1.2099e10	9.9541e-1	1	1329.64467
1567.72683	3	32.7375	1.2099e10	9.9547e-1	1	1567.72683
1243.61631	2	33.7409	1.1974e10	9.9744e-1	1	1243.61631
1803.94040	2	111.6593	1.1959e10	9.9795e-1	1	1803.94040
1953.05972	3	76.3175	1.1947e10	9.9791e-1	1	1953.05972
890.41483	2	43.7762	1.1941e10	9.9587e-1	1	1780.82966
841.50353	1	45.6576	1.1935e10	9.9512e-1	1	1683.00705
1474.69442	3	36.5647	1.1838e10	9.9224e-1	1	1474.69442
2202.01441	4	48.7094	1.1776e10	9.9451e-1	1	2202.01441
1538.90427	2	85.2340	1.1724e10	9.9522e-1	1	1538.90427
1781.94418	3	64.4810	1.1671e10	9.9740e-1	1	3563.88835
1638.93343	3	62.5941	1.1655e10	9.9333e-1	1	1638.93343
1579.76218	2	37.8473	1.1592e10	9.9447e-1	1	1579.76218
1378.76162	3	90.5573	1.1539e10	9.9726e-1	1	1378.76162
1543.82589	3	76.6962	1.1524e10	9.9297e-1	1	1543.82589
1486.69773	2	67.5770	1.1441e10	9.9461e-1	1	1486.69773
1331.69284	2	55.7504	1.1421e10	9.9441e-1	1	1331.69284
1304.71164	2	53.5545	1.1418e10	9.9796e-1	1	1304.71164
2350.12850	3	81.3313	1.1384e10	9.9470e-1	1	2350.12850
1176.60642	2	45.2731	1.1320e10	9.9859e-1	1	1176.60642
912.57602	2	59.0015	1.1270e10	9.7464e-1	1	1825.15205
3198.60519	3	107.3152	1.1233e10	9.9559e-1	1	3198.60519
1129.58921	2	68.2872	1.1185e10	9.8286e-1	1	1129.58921
1945.97994	3	99.6600	1.1094e10	9.7255e-1	1	1945.97994
1514.74389	3	44.7149	1.0974e10	9.9270e-1	1	1514.74389
1343.67221	2	77.7188	1.0864e10	9.9521e-1	1	1343.67221
1716.85886	2	74.4083	1.0850e10	9.9820e-1	1	1716.85886
1378.75071	2	90.4123	1.0811e10	9.9617e-1	1	1378.75071
1376.62461	2	46.0889	1.0799e10	9.9583e-1	1	1376.62461
1110.54697	2	58.0527	1.0778e10	9.9908e-1	1	1110.54697
1428.76011	2	73.9305	1.0718e10	9.9480e-1	1	1428.76011
1274.63816	2	59.2728	1.0635e10	9.9808e-1	1	1274.63816
2797.34145	3	129.8697	1.0614e10	9.9680e-1	1	2797.34145
1341.70574	3	53.0669	1.0588e10	9.9741e-1	1	1341.70574
1541.84653	2	134.1034	1.0586e10	9.9543e-1	1	1541.84653
1823.94025	4	58.5480	1.0583e10	9.9786e-1	1	1823.94025
1733.80991	2	57.6043	1.0543e10	9.9725e-1	1	1733.80991
1516.69460	3	34.9767	1.0518e10	9.4418e-1	1	1516.69460
1784.91170	3	45.5476	1.0512e10	9.9547e-1	1	1784.91170
1015.47361	2	39.3927	1.0498e10	9.8858e-1	1	1015.47361
2059.95412	3	63.3323	1.0469e10	9.9765e-1	1	2059.95412
1687.82346	2	70.9282	1.0461e10	9.9148e-1	1	1687.82346
869.48648	2	49.9065	1.0425e10	9.8190e-1	1	1738.97297
1318.66550	2	51.4866	1.0241e10	9.9769e-1	1	1318.66550
1896.95621	2	110.0638	1.0164e10	9.9761e-1	1	1896.95621
1150.55210	2	35.1731	1.0156e10	9.9755e-1	1	1150.55210
967.46561	2	58.0527	1.0138e10	9.8879e-1	1	967.46561
1152.55027	2	55.9391	1.0128e10	9.9777e-1	1	1152.55027
2006.89054	2	111.9035	1.0125e10	9.9584e-1	1	2006.89054
826.42246	2	59.0015	1.0010e10	9.9367e-1	1	1652.84492
1198.67099	2	101.6111	9.9884e9	9.9849e-1	1	1198.67099
1029.56101	2	65.8135	9.9022e9	9.8744e-1	1	1029.56101
1268.64121	2	94.0271	9.8783e9	9.9783e-1	1	1268.64121
1142.62937	2	100.9994	9.8582e9	9.9837e-1	1	1142.62937
828.52274	2	94.9256	9.8344e9	9.9278e-1	1	1657.04548
2118.99905	3	57.2108	9.8144e9	9.9653e-1	1	2118.99905
1018.50809	2	56.7665	9.7704e9	9.9056e-1	1	1018.50809
1433.72190	2	59.9770	9.7568e9	9.9645e-1	1	1433.72190
1045.52451	2	39.7806	9.7302e9	9.8491e-1	1	1045.52451
1313.73665	3	75.7143	9.7080e9	9.9676e-1	1	1313.73665
1909.95204	4	30.5716	9.6748e9	9.9855e-1	1	1909.95204
1875.82761	2	48.8824	9.6326e9	9.9489e-1	1	1874.82426
1319.66843	2	120.9103	9.5931e9	9.9618e-1	1	1319.66843
1432.71657	3	39.4249	9.5815e9	9.9665e-1	1	1432.71657
2514.38088	3	116.1548	9.5469e9	9.9267e-1	1	2514.38088
1193.64182	2	73.0073	9.5407e9	9.9763e-1	1	1193.64182
928.57566	2	92.0418	9.5247e9	9.8873e-1	1	1857.15131
1690.72060	3	35.4442	9.4863e9	9.9304e-1	1	1690.72060
1538.74837	3	44.4812	9.4638e9	9.8675e-1	1	1538.74837
1303.68003	2	66.1007	9.4387e9	9.9760e-1	1	1303.68003
1532.84981	3	90.9708	9.3470e9	9.9383e-1	1	1532.84981
1738.94992	2	101.8844	9.3299e9	9.9834e-1	1	1738.94992
1160.65842	2	119.8508	9.2833e9	9.9874e-1	1	1160.65842
1564.71201	2	84.6583	9.2070e9	9.9304e-1	1	1564.71201
1660.94253	3	72.3381	9.1787e9	9.9328e-1	1	1660.94253
1526.73885	3	73.0073	9.1697e9	9.9438e-1	1	1526.73885
674.67119	1	149.2868	9.1168e9	9.8819e-1	1	674.67119
1882.89809	3	27.4512	9.0884e9	9.9721e-1	1	1882.89809
1919.00156	2	81.5429	9.0834e9	9.9816e-1	1	1917.99821
1210.66806	2	72.1341	9.0617e9	9.9839e-1	1	1210.66806
1263.67539	2	65.1054	8.9665e9	9.9813e-1	1	1263.67539
869.53415	2	44.3439	8.9658e9	9.9352e-1	1	1739.06831
1547.76009	3	35.7804	8.8470e9	9.9321e-1	1	1547.76009
1957.97756	3	127.1673	8.8325e9	9.9728e-1	1	1957.97756
1886.97535	4	51.0989	8.8083e9	9.9588e-1	1	1886.97535
1176.60740	2	46.0889	8.6667e9	9.9434e-1	1	1176.60740
2086.07394	3	111.9035	8.5951e9	9.9418e-1	1	2086.07394
2040.10293	3	105.4435	8.5830e9	9.9752e-1	1	2040.10293
1195.62741	2	77.4480	8.5545e9	9.7215e-1	1	1195.62741
1695.82956	2	115.2853	8.5055e9	9.9424e-1	1	1695.82956
1142.61008	2	33.9203	8.4668e9	9.9867e-1	1	1142.61008
2212.10946	3	104.1724	8.4445e9	9.9229e-1	1	2212.10946
1162.62583	2	80.8404	8.4254e9	9.9852e-1	1	1162.62583
1495.77139	3	47.0111	8.4071e9	9.4929e-1	1	1496.77474
1255.68076	2	101.3347	8.4022e9	9.9803e-1	1	1255.68076
713.33934	1	89.7274	8.3193e9	9.9485e-1	1	713.33934
1612.89695	2	124.2695	8.2914e9	9.9268e-1	1	1612.89695
910.58982	2	159.7613	8.2099e9	9.9005e-1	1	1821.17963
1388.68113	2	64.5083	8.2026e9	9.9464e-1	1	1388.68113
978.49662	2	56.7169	8.1894e9	9.9079e-1	1	978.49662
1531.71421	2	28.9394	8.1775e9	9.9487e-1	1	1531.71421
1504.73818	3	64.2475	8.1749e9	9.9456e-1	1	1504.73818
1703.81722	3	51.1432	8.1459e9	8.8524e-1	1	1703.81722
1212.61802	2	80.3649	8.1406e9	9.9748e-1	1	1212.61802
1013.48203	2	85.5570	8.1367e9	9.4715e-1	1	2025.96070
1084.61545	2	118.2764	8.0684e9	9.9901e-1	1	1084.61545
2106.09377	3	109.8093	7.9994e9	9.9771e-1	1	2106.09377
2414.20167	4	71.7542	7.9912e9	9.9408e-1	1	2414.20167
1264.63620	2	38.8689	7.9795e9	9.9970e-1	1	1264.63620
1351.62131	2	51.3123	7.9089e9	9.9642e-1	1	1351.62131
1547.70969	2	33.4336	7.8906e9	9.9308e-1	1	1547.70969
1339.77224	3	47.0742	7.8708e9	9.9765e-1	1	1339.77224
2557.37843	4	49.4211	7.8609e9	9.9074e-1	1	2557.37843
1198.68890	3	58.2247	7.8486e9	9.6755e-1	1	1199.69225
1257.68404	3	46.4966	7.7862e9	9.9510e-1	1	1257.68404
1959.92118	2	102.6001	7.7843e9	9.9743e-1	1	1959.92118
1830.90873	2	91.1394	7.7604e9	9.9803e-1	1	3661.81746
1931.94796	3	66.9930	7.7589e9	9.9659e-1	1	1930.94460
1054.53550	2	100.1831	7.7465e9	9.8592e-1	1	1054.53550
1342.78830	2	122.7100	7.7413e9	9.9655e-1	1	1342.78830
1197.69979	3	58.7641	7.7366e9	9.9898e-1	1	1197.69979
1196.57578	2	61.5547	7.7214e9	9.9723e-1	1	1196.57578
1106.56247	2	42.8943	7.6993e9	9.9867e-1	1	1106.56247
1815.87026	3	77.3937	7.6741e9	9.9816e-1	1	1815.87026
1038.58664	2	97.1818	7.6530e9	9.8170e-1	1	1038.58664
1767.99404	3	111.2813	7.6060e9	9.9801e-1	1	1767.99404
2414.20315	3	71.7542	7.5773e9	9.9471e-1	1	2414.20315
1980.99467	2	97.9559	7.5658e9	9.9836e-1	1	1980.99467
1182.64182	2	59.9409	7.5203e9	9.9821e-1	1	1182.64182
1575.79660	2	73.7438	7.5130e9	9.9230e-1	1	1575.79660
1536.76999	2	86.9130	7.4941e9	9.9672e-1	1	1536.76999
1302.77903	2	116.1201	7.4556e9	9.9791e-1	1	1302.77903
1843.89860	2	50.0745	7.4462e9	9.9817e-1	1	3687.79719
1159.57773	2	55.4410	7.4387e9	9.9846e-1	1	1159.57773
1706.86567	4	49.1555	7.3824e9	9.9506e-1	1	1706.86567
2530.37679	3	105.3147	7.3393e9	9.9209e-1	1	2530.37679
1740.80722	2	96.8223	7.3170e9	9.9779e-1	1	1740.80722
1106.59775	2	60.8310	7.3160e9	9.9896e-1	1	1106.59775
1248.61565	3	29.0074	7.2954e9	9.9827e-1	1	1248.61565
1133.55759	2	27.4166	7.2659e9	9.9587e-1	1	1133.55759
914.51957	2	50.3668	7.2652e9	9.9175e-1	1	1829.03913
1445.68467	2	53.1337	7.2618e9	9.9489e-1	1	1445.68467
1793.89120	3	77.6372	7.2402e9	8.9762e-1	1	1793.89120
3011.55250	4	124.3077	7.2342e9	9.9796e-1	1	3011.55250
1318.69834	2	84.1358	7.2276e9	9.9696e-1	1	1318.69834
1325.75808	3	45.1131	7.1453e9	9.9775e-1	1	1325.75808
2528.35275	3	123.9934	7.1318e9	9.9553e-1	1	2528.35275
876.50736	2	80.8404	7.1114e9	9.9446e-1	1	1753.01472
1163.56614	2	50.4469	7.0773e9	9.9826e-1	1	1163.56614
1480.80309	3	54.8278	7.0702e9	9.9493e-1	1	1480.80309
1959.90897	2	84.6882	7.0295e9	9.9750e-1	1	1959.90897
1619.83242	3	121.3214	7.0269e9	9.9135e-1	1	1619.83242
1092.54599	2	39.8673	7.0095e9	9.9914e-1	1	1092.54599
1614.83310	2	109.8843	6.9432e9	9.9114e-1	1	1614.83310
1347.68174	2	90.8706	6.9421e9	9.9694e-1	1	1347.68174
1717.87803	2	58.4551	6.9389e9	9.9689e-1	1	1717.87803
1903.89352	3	48.9653	6.9250e9	9.6357e-1	1	1903.89352
1445.73740	2	125.9972	6.9193e9	9.9637e-1	1	1445.73740
1843.97007	2	118.8257	6.9022e9	9.9850e-1	1	1843.97007
1846.79148	2	82.1447	6.8919e9	9.9800e-1	1	1846.79148
1539.89523	3	85.1513	6.8691e9	9.5270e-1	1	1540.89858
1627.78365	3	38.1853	6.8295e9	9.7092e-1	1	1628.78701
1762.79966	2	108.4807	6.7979e9	9.9877e-1	1	1762.79966
1802.88314	3	52.3714	6.7693e9	9.9712e-1	1	1802.88314
1075.59360	2	61.6635	6.7286e9	9.9770e-1	1	1075.59360
1976.93885	4	33.9203	6.7244e9	9.9841e-1	1	1976.93885
1909.95541	3	30.5295	6.6788e9	9.9857e-1	1	1909.95541
1353.72678	2	47.4864	6.6714e9	9.9702e-1	1	1353.72678
1538.90658	3	85.7909	6.6629e9	9.9557e-1	1	1538.90658
1348.72995	2	95.1261	6.6438e9	9.9727e-1	1	1348.72995
1289.57016	2	69.0951	6.6348e9	9.9753e-1	1	1289.57016
1954.03915	3	75.8604	6.6339e9	9.1481e-1	1	1954.03915
1211.67991	2	69.2263	6.6102e9	9.9818e-1	1	1211.67991
1418.74509	2	92.3814	6.6059e9	9.9585e-1	1	1418.74509
1054.53464	2	67.1552	6.5925e9	9.8698e-1	1	1054.53464
1919.91853	4	40.7324	6.5397e9	9.9818e-1	1	1918.91517
1214.66855	2	136.8796	6.5045e9	9.9836e-1	1	1214.66855
1674.89956	3	71.5415	6.5011e9	9.6635e-1	1	1674.89956
3010.56788	4	119.7715	6.4798e9	9.9608e-1	1	3010.56788
1153.56797	2	85.7526	6.4773e9	9.9842e-1	1	1153.56797
1266.64719	2	66.1701	6.4352e9	9.9739e-1	1	1266.64719
1758.81101	2	139.5255	6.3692e9	9.9770e-1	1	1758.81101
3198.60792	4	107.8731	6.3543e9	9.9662e-1	1	3198.60792
1489.74900	2	75.1789	6.3388e9	9.9435e-1	1	1489.74900
927.61559	1	159.7194	6.3304e9	9.8920e-1	1	1855.23117
1749.80507	3	37.0899	6.3004e9	9.6850e-1	1	1749.80507
1070.54465	2	62.2104	6.2995e9	9.8686e-1	1	1070.54465
1271.67221	2	61.6820	6.2884e9	9.9810e-1	1	1271.67221
2175.94466	3	69.2263	6.2811e9	9.9732e-1	1	2175.94466
2228.10317	3	90.7665	6.2805e9	9.9348e-1	1	2228.10317
3198.61280	4	109.2419	6.2779e9	9.9501e-1	1	3198.61280
2006.95882	3	123.8315	6.2340e9	9.9668e-1	1	2006.95882
1755.96110	2	104.1724	6.2286e9	9.9690e-1	1	3511.92219
952.59751	2	84.4840	6.2217e9	9.9012e-1	1	952.59751
1420.68943	2	75.9571	6.2147e9	9.9515e-1	1	1420.68943
1019.54117	2	45.0711	6.1840e9	9.8664e-1	1	1019.54117
1587.76296	3	95.1261	6.1720e9	9.9033e-1	1	1587.76296
1615.78305	2	110.3498	6.1704e9	9.9067e-1	1	1615.78305
1470.74033	2	94.6042	6.1285e9	9.9521e-1	1	1470.74033
1648.79160	2	70.5871	6.1215e9	9.9214e-1	1	1648.79160
1602.82993	2	116.1201	6.1059e9	9.9250e-1	1	1602.82993
2514.37809	2	115.6108	6.0865e9	9.9262e-1	1	2514.37809
1814.99300	3	84.1195	6.0777e9	9.9786e-1	1	1814.99300
1150.55759	2	66.5560	6.0738e9	9.9832e-1	1	1150.55759
1469.75486	2	90.2019	6.0648e9	9.9131e-1	1	1469.75486
954.61502	2	159.4275	6.0416e9	9.9004e-1	1	954.61502
2557.37991	3	49.4496	6.0371e9	9.9373e-1	1	2557.37991
2022.03188	3	114.5073	6.0115e9	9.9716e-1	1	2022.03188
1508.85764	2	91.6008	5.9946e9	9.9562e-1	1	1508.85764
1379.80454	2	126.3323	5.9894e9	9.9676e-1	1	1379.80454
1014.57175	2	50.2967	5.9752e9	9.8953e-1	1	1014.57175
1494.78100	3	47.5766	5.9748e9	9.9457e-1	1	1494.78100
2202.01687	3	48.6847	5.9525e9	9.9595e-1	1	2202.01687
2319.14394	3	82.3278	5.9302e9	9.9672e-1	1	2319.14394
1161.60441	2	60.1881	5.8440e9	9.8289e-1	1	1162.60776
2348.26247	3	113.7158	5.8150e9	9.9250e-1	1	2348.26247
1049.55124	2	49.0788	5.7961e9	9.8782e-1	1	1049.55124
3061.59213	3	142.9904	5.7693e9	9.9672e-1	1	3061.59213
2572.19696	5	41.8155	5.7565e9	9.9007e-1	1	2572.19696
1168.70920	2	112.4065	5.7546e9	9.9895e-1	1	1168.70920
1479.75197	3	84.8952	5.7420e9	9.9576e-1	1	1479.75197
1902.93661	3	81.9601	5.7410e9	9.9801e-1	1	1902.93661
900.52799	2	51.0459	5.7388e9	9.8777e-1	1	1801.05598
1156.62143	2	44.1956	5.7343e9	9.9775e-1	1	1156.62143
1524.76287	3	57.7307	5.7312e9	9.9098e-1	1	1524.76287
1791.85581	2	86.4302	5.7204e9	9.9848e-1	1	1791.85581
805.40848	2	42.9919	5.7053e9	9.9624e-1	1	1610.81696
1955.03433	3	108.7256	5.7036e9	9.9838e-1	1	1955.03433
1638.93283	2	62.6684	5.7017e9	9.9409e-1	1	1638.93283
1132.51261	2	42.3453	5.6855e9	9.6825e-1	1	1133.51596
1364.70652	2	47.1027	5.6795e9	9.9586e-1	1	1364.70652
890.41776	2	49.8220	5.6794e9	9.8943e-1	1	1780.83552
2514.35849	3	115.6528	5.6627e9	9.9480e-1	1	2516.36520
1145.57639	2	41.2448	5.6490e9	9.9850e-1	1	1145.57639
1256.67331	2	72.1341	5.6396e9	9.9833e-1	1	1256.67331
1778.87241	2	105.0979	5.6120e9	9.9829e-1	1	1778.87241
2125.15780	3	105.6146	5.6004e9	9.9725e-1	1	2125.15780
830.48716	2	52.9372	5.5903e9	9.9468e-1	1	1660.97431
2530.37624	3	107.9288	5.5854e9	9.8995e-1	1	2530.37624
1525.74779	3	64.4810	5.5784e9	9.9425e-1	1	1525.74779
1129.56931	2	61.2777	5.5635e9	9.9819e-1	1	1129.56931
1786.92380	2	93.4990	5.5545e9	9.9771e-1	1	1786.92380
1918.06387	3	110.6250	5.5532e9	9.9662e-1	1	1918.06387
1131.52141	1	42.3800	5.5456e9	9.9731e-1	1	1131.52141
1117.57651	2	71.7542	5.5345e9	9.6085e-1	1	1117.57651
1071.53611	2	60.0270	5.5326e9	9.8601e-1	1	1071.53611
2185.95914	2	101.5343	5.5300e9	9.9412e-1	1	2185.95914
1604.80752	3	52.1510	5.5161e9	9.9188e-1	1	1604.80752
868.50229	2	43.2509	5.5100e9	9.9335e-1	1	1737.00459
1478.72116	2	89.6632	5.5050e9	9.9596e-1	1	1478.72116
2599.35629	3	130.7143	5.5005e9	9.9357e-1	1	2599.35629
950.51902	2	45.8746	5.4833e9	9.9806e-1	1	950.51902
1875.82741	3	48.8589	5.4711e9	9.9665e-1	1	1874.82406
1553.74656	2	53.1337	5.4698e9	9.9345e-1	1	1553.74656
1975.90231	3	71.5415	5.4609e9	9.9762e-1	1	1975.90231
1771.90041	3	65.8829	5.4520e9	9.8878e-1	1	1771.90041
1376.74363	2	33.4164	5.4502e9	9.9680e-1	1	1376.74363
1270.70359	2	64.9134	5.4437e9	9.9812e-1	1	1270.70359
1101.55124	2	73.1039	5.4321e9	9.9801e-1	1	1101.55124
1529.79013	2	83.2659	5.4305e9	9.9367e-1	1	1529.79013
2214.06583	2	126.2111	5.4254e9	9.9652e-1	1	2214.06583
863.47629	2	65.0187	5.4230e9	9.9278e-1	1	1726.95258
1409.76879	3	75.9844	5.4095e9	9.9593e-1	1	1409.76879
1302.66289	3	37.0738	5.4040e9	9.9763e-1	1	1302.66289
1493.71679	3	23.9885	5.3911e9	9.9474e-1	1	1493.71679
1227.62229	2	36.7649	5.3889e9	9.9818e-1	1	1227.62229
1346.73264	2	56.9770	5.3638e9	9.9645e-1	1	1346.73264
2184.04433	3	41.2720	5.3521e9	9.9773e-1	1	2184.04433
1271.67385	3	61.6635	5.3495e9	9.9837e-1	1	1271.67385
1075.49790	2	86.9130	5.3488e9	9.9858e-1	1	1075.49790
953.59037	2	83.9387	5.3357e9	9.8441e-1	1	954.59372
