decon_thr	decon_recall	decon_feat_kept	log10int_thr	int_recall	int_feat_kept
0.9180	0.94408	0.05449	11.1800	0.00000	0.00000
0.9200	0.94286	0.05364	11.2000	0.00000	0.00000
0.9220	0.94175	0.05205	11.2200	0.00000	0.00000
0.9240	0.94024	0.05117	11.2400	0.00000	0.00000
0.9260	0.93893	0.05032	11.2600	0.00000	0.00000
0.9280	0.93735	0.04945	11.2800	0.00000	0.00000
0.9300	0.93578	0.04858	11.3000	0.00000	0.00000
0.9320	0.93429	0.04771	11.3200	0.00000	0.00000
0.9340	0.93244	0.04617	11.3400	0.00000	0.00000
0.9360	0.93044	0.04524	11.3600	0.00000	0.00000
0.9380	0.92850	0.04429	11.3800	0.00000	0.00000
0.9400	0.92638	0.04331	11.4000	0.00000	0.00000
0.9420	0.92396	0.04179	11.4200	0.00000	0.00000
0.9440	0.92138	0.04079	11.4400	0.00000	0.00000
0.9460	0.91838	0.03981	11.4600	0.00000	0.00000
0.9480	0.91538	0.03876	11.4800	0.00000	0.00000
0.9500	0.91199	0.03777	11.5000	0.00000	0.00000
0.9520	0.90825	0.03643	11.5200	0.00000	0.00000
0.9540	0.90411	0.03539	11.5400	0.00000	0.00000
0.9560	0.89958	0.03432	11.5600	0.00000	0.00000
0.9580	0.89394	0.03307	11.5800	0.00000	0.00000
0.9600	0.88798	0.03195	11.6000	0.00000	0.00000
0.9620	0.88155	0.03084	11.6200	0.00000	0.00000
0.9640	0.87386	0.02968	11.6400	0.00000	0.00000
0.9660	0.86485	0.02849	11.6600	0.00000	0.00000
0.9680	0.85440	0.02718	11.6800	0.00000	0.00000
0.9700	0.84188	0.02590	11.7000	0.00000	0.00000
0.9720	0.82635	0.02457	11.7200	0.00000	0.00000
0.9740	0.80769	0.02312	11.7400	0.00000	0.00000
0.9760	0.78455	0.02159	11.7600	0.00000	0.00000
0.9780	0.75718	0.02000	11.7800	0.00000	0.00000
0.9800	0.72453	0.01832	11.8000	0.00000	0.00000
0.9820	0.68331	0.01655	11.8200	0.00000	0.00000
0.9840	0.63559	0.01469	11.8400	0.00000	0.00000
0.9860	0.57816	0.01274	11.8600	0.00000	0.00000
0.9880	0.50999	0.01072	11.8800	0.00000	0.00000
0.9900	0.43204	0.00861	11.9000	0.00000	0.00000
0.9920	0.34509	0.00652	11.9200	0.00000	0.00000
0.9940	0.25109	0.00452	11.9400	0.00000	0.00000
0.9960	0.15191	0.00272	11.9600	0.00000	0.00000
0.9980	0.05714	0.00121	11.9800	0.00000	0.00000
