decon_thr	decon_recall	decon_feat_kept	log10int_thr	int_recall	int_feat_kept
0.2100	0.97959	0.77744	4.1000	0.97954	0.59070
0.2120	0.97958	0.77509	4.1200	0.97946	0.57689
0.2140	0.97958	0.77272	4.1400	0.97940	0.56310
0.2160	0.97957	0.77030	4.1600	0.97930	0.54927
0.2180	0.97956	0.76787	4.1800	0.97924	0.53554
0.2200	0.97955	0.76546	4.2000	0.97913	0.52182
0.2220	0.97954	0.76304	4.2200	0.97906	0.50817
0.2240	0.97952	0.76061	4.2400	0.97898	0.49467
0.2260	0.97952	0.75816	4.2600	0.97886	0.48126
0.2280	0.97952	0.75570	4.2800	0.97877	0.46810
0.2300	0.97951	0.75323	4.3000	0.97868	0.45512
0.2320	0.97951	0.75074	4.3200	0.97859	0.44229
0.2340	0.97950	0.74824	4.3400	0.97851	0.42969
0.2360	0.97950	0.74571	4.3600	0.97835	0.41730
0.2380	0.97948	0.74320	4.3800	0.97817	0.40513
0.2400	0.97947	0.74068	4.4000	0.97802	0.39327
0.2420	0.97947	0.73815	4.4200	0.97785	0.38164
0.2440	0.97946	0.73560	4.4400	0.97768	0.37026
0.2460	0.97943	0.73300	4.4600	0.97753	0.35916
0.2480	0.97942	0.73045	4.4800	0.97730	0.34838
0.2500	0.97941	0.72788	4.5000	0.97713	0.33788
0.2520	0.97940	0.72528	4.5200	0.97688	0.32764
0.2540	0.97937	0.72266	4.5400	0.97668	0.31772
0.2560	0.97935	0.72004	4.5600	0.97645	0.30814
0.2580	0.97934	0.71738	4.5800	0.97621	0.29880
0.2600	0.97934	0.71472	4.6000	0.97598	0.28976
0.2620	0.97933	0.71207	4.6200	0.97570	0.28104
0.2640	0.97933	0.70940	4.6400	0.97541	0.27258
0.2660	0.97931	0.70670	4.6600	0.97509	0.26438
0.2680	0.97930	0.70402	4.6800	0.97468	0.25639
0.2700	0.97930	0.70130	4.7000	0.97436	0.24868
0.2720	0.97929	0.69860	4.7200	0.97390	0.24120
0.2740	0.97926	0.69587	4.7400	0.97342	0.23395
0.2760	0.97926	0.69316	4.7600	0.97290	0.22692
0.2780	0.97926	0.69041	4.7800	0.97246	0.22014
0.2800	0.97925	0.68764	4.8000	0.97186	0.21356
0.2820	0.97924	0.68487	4.8200	0.97133	0.20720
0.2840	0.97924	0.68209	4.8400	0.97081	0.20100
0.2860	0.97922	0.67933	4.8600	0.97022	0.19500
0.2880	0.97920	0.67656	4.8800	0.96952	0.18918
0.2900	0.97919	0.67376	4.9000	0.96885	0.18354
0.2920	0.97919	0.67093	4.9200	0.96820	0.17802
0.2940	0.97917	0.66811	4.9400	0.96738	0.17270
0.2960	0.97917	0.66526	4.9600	0.96664	0.16754
0.2980	0.97916	0.66245	4.9800	0.96568	0.16252
0.3000	0.97914	0.65963	5.0000	0.96471	0.15762
0.3020	0.97913	0.65678	5.0200	0.96366	0.15285
0.3040	0.97912	0.65393	5.0400	0.96262	0.14825
0.3060	0.97912	0.65106	5.0600	0.96152	0.14373
0.3080	0.97911	0.64815	5.0800	0.96019	0.13934
0.3100	0.97911	0.64527	5.1000	0.95896	0.13508
0.3120	0.97911	0.64237	5.1200	0.95779	0.13094
0.3140	0.97910	0.63949	5.1400	0.95644	0.12691
0.3160	0.97908	0.63658	5.1600	0.95502	0.12297
0.3180	0.97907	0.63367	5.1800	0.95339	0.11914
0.3200	0.97907	0.63075	5.2000	0.95201	0.11541
0.3220	0.97906	0.62782	5.2200	0.95043	0.11178
0.3240	0.97904	0.62487	5.2400	0.94875	0.10822
0.3260	0.97902	0.62193	5.2600	0.94707	0.10478
0.3280	0.97900	0.61899	5.2800	0.94534	0.10142
0.3300	0.97898	0.61604	5.3000	0.94357	0.09816
0.3320	0.97898	0.61306	5.3200	0.94175	0.09496
0.3340	0.97895	0.61009	5.3400	0.93981	0.09184
0.3360	0.97895	0.60712	5.3600	0.93780	0.08880
0.3380	0.97895	0.60413	5.3800	0.93577	0.08585
0.3400	0.97892	0.60116	5.4000	0.93367	0.08298
0.3420	0.97891	0.59816	5.4200	0.93152	0.08017
0.3440	0.97889	0.59511	5.4400	0.92927	0.07744
0.3460	0.97888	0.59212	5.4600	0.92675	0.07478
0.3480	0.97887	0.58912	5.4800	0.92446	0.07220
0.3500	0.97885	0.58612	5.5000	0.92224	0.06966
0.3520	0.97884	0.58315	5.5200	0.91968	0.06721
0.3540	0.97883	0.58014	5.5400	0.91733	0.06483
0.3560	0.97883	0.57711	5.5600	0.91479	0.06252
0.3580	0.97883	0.57410	5.5800	0.91219	0.06026
0.3600	0.97881	0.57107	5.6000	0.90959	0.05806
0.3620	0.97880	0.56804	5.6200	0.90686	0.05594
0.3640	0.97879	0.56501	5.6400	0.90414	0.05386
0.3660	0.97876	0.56196	5.6600	0.90125	0.05184
0.3680	0.97876	0.55893	5.6800	0.89823	0.04988
0.3700	0.97876	0.55592	5.7000	0.89517	0.04801
0.3720	0.97875	0.55288	5.7200	0.89210	0.04617
0.3740	0.97874	0.54984	5.7400	0.88887	0.04443
0.3760	0.97871	0.54677	5.7600	0.88570	0.04271
0.3780	0.97871	0.54374	5.7800	0.88236	0.04104
0.3800	0.97870	0.54071	5.8000	0.87884	0.03943
