scan_index	one_based_scan	rt	mz	intensity	charge
1200	2064	7.60156	376.840790	2.0830e4	3
1200	2064	7.60156	376.903046	8.4736e4	0
1200	2064	7.60156	377.175842	1.2273e4	3
1200	2064	7.60156	377.842957	1.3046e4	0
1200	2064	7.60156	377.902313	2.9070e4	0
1200	2064	7.60156	380.839233	2.7256e4	0
1200	2064	7.60156	381.025543	2.4474e4	6
1200	2064	7.60156	381.062256	3.6707e4	0
1200	2064	7.60156	381.185089	9.2307e4	3
1200	2064	7.60156	381.192169	3.7290e4	6
1200	2064	7.60156	381.512726	3.2778e4	0
1200	2064	7.60156	381.519409	1.1432e5	3
1200	2064	7.60156	381.843048	1.0270e5	3
1200	2064	7.60156	381.853851	3.3575e4	3
1200	2064	7.60156	381.878632	2.2450e4	0
1200	2064	7.60156	382.177185	2.7133e4	3
1200	2064	7.60156	384.007446	2.6474e4	6
1200	2064	7.60156	384.177002	1.7838e4	6
1200	2064	7.60156	385.041840	3.9685e4	5
1200	2064	7.60156	385.165894	7.9975e4	0
1200	2064	7.60156	385.239044	2.0484e4	5
1200	2064	7.60156	385.259460	3.2072e4	0
1200	2064	7.60156	385.962830	1.4072e4	0
1200	2064	7.60156	386.023529	1.5606e5	0
1200	2064	7.60156	386.168945	2.2144e4	0
1200	2064	7.60156	386.207062	4.6611e4	0
1200	2064	7.60156	386.850616	3.4196e4	3
1200	2064	7.60156	387.075226	1.8842e4	5
1200	2064	7.60156	387.144531	1.2836e4	0
1200	2064	7.60156	387.185638	2.2491e4	3
1200	2064	7.60156	387.210266	1.5626e4	0
1200	2064	7.60156	387.275513	4.7261e4	5
1200	2064	7.60156	388.019287	2.7645e4	0
1200	2064	7.60156	389.090759	3.1339e4	3
1200	2064	7.60156	389.404663	1.5560e4	0
1200	2064	7.60156	389.423950	1.4403e4	3
1200	2064	7.60156	389.845154	2.5064e4	3
1200	2064	7.60156	390.179626	1.6901e4	3
1200	2064	7.60156	390.902802	2.7770e4	3
1200	2064	7.60156	391.237885	5.5608e4	3
1200	2064	7.60156	391.288116	6.6586e4	0
1200	2064	7.60156	391.848297	2.2651e4	0
1200	2064	7.60156	392.241486	2.1989e4	0
1200	2064	7.60156	392.291443	2.4613e4	0
1200	2064	7.60156	392.506561	1.2999e4	0
1200	2064	7.60156	392.517456	1.9223e4	0
1200	2064	7.60156	392.878174	1.5354e4	0
1200	2064	7.60156	393.062225	3.7812e4	0
1200	2064	7.60156	393.301636	7.2480e4	0
1200	2064	7.60156	393.848480	1.1975e4	5
1200	2064	7.60156	394.052246	1.9591e4	5
1200	2064	7.60156	394.715027	1.0680e5	2
1200	2064	7.60156	394.721313	3.1745e4	0
1200	2064	7.60156	394.881653	4.6970e4	3
1200	2064	7.60156	394.893097	1.3351e4	0
1200	2064	7.60156	395.078033	4.8324e5	3
1200	2064	7.60156	395.216766	2.9645e4	2
1200	2064	7.60156	395.415894	1.4496e4	3
1200	2064	7.60156	395.520294	3.8914e5	3
1200	2064	7.60156	395.848145	3.3518e4	0
1200	2064	7.60156	395.854797	2.5296e5	3
1200	2064	7.60156	395.881500	1.3163e4	5
1200	2064	7.60156	396.081635	7.6030e4	5
1200	2064	7.60156	396.189209	8.8682e4	3
1200	2064	7.60156	396.851471	1.7673e4	3
1200	2064	7.60156	397.073578	5.2324e4	0
1200	2064	7.60156	397.180511	1.6174e4	0
1200	2064	7.60156	397.186646	2.1473e4	3
1200	2064	7.60156	397.443878	1.5387e4	0
1200	2064	7.60156	399.254547	2.1140e4	0
1200	2064	7.60156	399.351074	1.7002e4	0
1200	2064	7.60156	400.180603	1.8303e4	0
1200	2064	7.60156	400.852112	2.0364e4	3
1200	2064	7.60156	401.186707	2.9514e4	3
1200	2064	7.60156	402.018707	3.4393e4	0
1200	2064	7.60156	402.190857	1.5527e4	0
1200	2064	7.60156	402.250275	1.4398e4	0
1200	2064	7.60156	403.045013	2.4727e4	0
1200	2064	7.60156	403.052551	5.4210e5	6
1200	2064	7.60156	403.222687	2.0306e4	6
1200	2064	7.60156	403.236603	1.5340e4	0
1200	2064	7.60156	403.675812	1.9408e4	0
1200	2064	7.60156	404.036682	2.0445e5	0
1200	2064	7.60156	404.056030	6.9769e4	0
1200	2064	7.60156	404.062714	1.4096e4	0
1200	2064	7.60156	404.171906	6.1717e4	0
1200	2064	7.60156	404.208282	1.9715e4	0
1200	2064	7.60156	404.851990	1.2587e4	0
1200	2064	7.60156	405.040527	2.7991e4	0
1200	2064	7.60156	405.048492	7.0907e4	0
1200	2064	7.60156	405.067902	2.0189e4	0
1200	2064	7.60156	405.085815	1.6345e4	0
1200	2064	7.60156	405.846802	1.6720e4	3
1200	2064	7.60156	406.032227	4.7754e4	0
1200	2064	7.60156	406.183228	1.6899e4	3
1200	2064	7.60156	406.518280	3.3121e4	3
1200	2064	7.60156	407.199921	1.6100e4	0
1200	2064	7.60156	407.710510	2.0865e4	0
1200	2064	7.60156	409.223358	1.3648e4	0
1200	2064	7.60156	411.073334	6.0864e4	0
1200	2064	7.60156	411.177246	1.7195e4	3
1200	2064	7.60156	411.396851	1.2667e4	0
1200	2064	7.60156	411.514771	2.2670e4	3
1200	2064	7.60156	411.711365	1.5964e4	5
1200	2064	7.60156	411.850189	3.1195e4	3
